length (cm)	pressure (bar)	Velocity magnitude (ml/h)
10.000	0.10000	582.83
10.000	0.20000	1165.8
10.000	0.30000	1747.9
10.000	0.40000	2330.3
10.000	0.50000	2906.7
10.000	0.60000	3497.4
10.000	0.70000	4051.2
10.000	0.80000	4618.0
10.000	0.90000	5216.1
10.000	1.0000	5694.1
20.000	0.10000	291.46
20.000	0.20000	582.76
20.000	0.30000	874.14
20.000	0.40000	1164.3
20.000	0.50000	1456.6
20.000	0.60000	1747.7
20.000	0.70000	2036.6
20.000	0.80000	2325.9
20.000	0.90000	2611.8
20.000	1.0000	2897.0
30.000	0.10000	196.23
30.000	0.20000	389.84
30.000	0.30000	579.98
30.000	0.40000	764.88
30.000	0.50000	943.68
30.000	0.60000	1101.5
30.000	0.70000	1299.7
30.000	0.80000	1473.0
30.000	0.90000	1712.6
30.000	1.0000	1900.9
40.000	0.10000	146.45
40.000	0.20000	290.85
40.000	0.30000	435.28
40.000	0.40000	581.00
40.000	0.50000	723.37
40.000	0.60000	864.46
40.000	0.70000	1004.2
40.000	0.80000	1128.8
40.000	0.90000	1258.8
40.000	1.0000	1423.0
50.000	0.10000	117.17
50.000	0.20000	235.24
50.000	0.30000	346.79
50.000	0.40000	464.43
50.000	0.50000	580.22
50.000	0.60000	693.26
50.000	0.70000	806.19
50.000	0.80000	916.68
50.000	0.90000	1027.7
50.000	1.0000	1134.3
