file	p_oil	p_water	q_emulsion  ac_field
20221216_153112 260 131 35  FALSE
20221216_160150	80	60	15  TRUE
20221216_160329	80	60	15  TRUE
20221216_160504	80	60	15  TRUE
20221216_160634	115	60	15  TRUE
20221216_160833	115	70	15  TRUE
20221216_161016	115	80	15  TRUE
20221216_161206	130	80	15  TRUE
20221216_161355	130	80	25  TRUE
20221216_161514	145	80	25  TRUE
20221216_161638	145	70	25  TRUE
20221216_161832	145	70	25  TRUE
20221216_162002	145	70	35  TRUE
20221216_162136	160	70	35  TRUE
20221216_162311	160	70	35  TRUE
20221216_162506	160	70	35  TRUE
