slice	left	right	width	intensity
8	20	80	60	20232
14	30	69.1304347826087	39.1304347826087	13897
21	30	67.3913043478261	37.3913043478261	12654
27	24.3478260869565	75.2173913043478	50.8695652173913	17168
32	30.4347826086957	68.695652173913	38.2608695652174	13413
36	31.304347826087	69.5652173913044	38.2608695652174	13325
42	35.6521739130435	73.4782608695652	37.8260869565217	13053
46	30	67.8260869565217	37.8260869565217	12944
49	32.1739130434783	69.5652173913044	37.3913043478261	12777
56	32.1739130434783	70	37.8260869565217	12886
59	30	67.8260869565217	37.8260869565217	13341
62	32.1739130434783	69.5652173913044	37.3913043478261	13188
66	30.4347826086957	67.8260869565217	37.3913043478261	13019
69	31.7391304347826	69.5652173913044	37.8260869565217	13345
73	30	68.2608695652174	38.2608695652174	13365
76	31.7391304347826	69.5652173913044	37.8260869565217	13209
80	30	67.8260869565217	37.8260869565217	12999
83	31.7391304347826	70	38.2608695652174	13090
93	30	67.8260869565217	37.8260869565217	13233
96	31.7391304347826	69.5652173913044	37.8260869565217	13353
100	30.4347826086957	67.8260869565217	37.3913043478261	13000
103	31.7391304347826	69.5652173913044	37.8260869565217	13154
107	30.4347826086957	68.2608695652174	37.8260869565217	12984
110	32.1739130434783	69.5652173913044	37.3913043478261	12734
113	30.4347826086957	67.3913043478261	36.9565217391304	12993
116	34.3478260869565	67.3913043478261	33.0434782608696	11581
122	32.6086956521739	70	37.3913043478261	13168
126	29.5652173913044	67.3913043478261	37.8260869565217	12966
129	32.1739130434783	69.1304347826087	36.9565217391304	12975
133	30.4347826086957	68.2608695652174	37.8260869565217	13119
136	31.7391304347826	69.5652173913044	37.8260869565217	13087
141	24.3478260869565	74.3478260869565	50	16805
145	30.8695652173913	69.5652173913044	38.695652173913	13683
152	33.4782608695652	70.8695652173913	37.3913043478261	13112
156	29.5652173913044	67.3913043478261	37.8260869565217	13255
160	31.304347826087	69.1304347826087	37.8260869565217	13286
163	30	67.8260869565217	37.8260869565217	13184
168	25.2173913043478	74.7826086956522	49.5652173913044	16902
175	24.3478260869565	75.2173913043478	50.8695652173913	17278
181	31.304347826087	70	38.695652173913	13331
187	30.4347826086957	67.8260869565217	37.3913043478261	13081
191	30.4347826086957	70.4347826086957	40	13674
195	30.4347826086957	68.2608695652174	37.8260869565217	13086
198	33.4782608695652	70.8695652173913	37.3913043478261	13069
202	30	67.8260869565217	37.8260869565217	13350
209	31.304347826087	66.0869565217391	34.7826086956522	12203
213	26.5217391304348	73.9130434782609	47.3913043478261	16145
218	30.4347826086957	68.2608695652174	37.8260869565217	13279
225	29.1304347826087	66.9565217391304	37.8260869565217	13301
232	30.4347826086957	67.3913043478261	36.9565217391304	13000
235	32.1739130434783	69.5652173913044	37.3913043478261	13134
239	30.4347826086957	68.2608695652174	37.8260869565217	13147
242	31.7391304347826	69.1304347826087	37.3913043478261	13070
246	30.4347826086957	68.2608695652174	37.8260869565217	13046
249	32.1739130434783	69.5652173913044	37.3913043478261	12801
256	32.1739130434783	68.2608695652174	36.0869565217391	12350
259	29.5652173913044	67.3913043478261	37.8260869565217	13056
262	32.1739130434783	69.1304347826087	36.9565217391304	12941
267	30	68.695652173913	38.695652173913	13514
270	33.0434782608696	66.5217391304348	33.4782608695652	11490
273	24.7826086956522	73.0434782608696	48.2608695652174	16291
278	31.7391304347826	69.5652173913044	37.8260869565217	12879
283	35.6521739130435	72.1739130434783	36.5217391304348	12690
289	23.9130434782609	75.6521739130435	51.7391304347826	17689
295	30.8695652173913	69.1304347826087	38.2608695652174	13251
299	31.304347826087	69.5652173913044	38.2608695652174	13447
307	13.9130434782609	85.2173913043478	71.304347826087	23905
313	29.5652173913044	68.2608695652174	38.695652173913	13603
319	32.6086956521739	70	37.3913043478261	12912
328	18.2608695652174	81.304347826087	63.0434782608696	21243
339	29.5652173913044	67.3913043478261	37.8260869565217	13355
342	31.7391304347826	68.695652173913	36.9565217391304	12948
346	29.5652173913044	68.2608695652174	38.695652173913	13597
349	33.0434782608696	70.4347826086957	37.3913043478261	13123
356	32.1739130434783	70	37.8260869565217	13191
359	29.1304347826087	67.3913043478261	38.2608695652174	13436
363	25.2173913043478	75.6521739130435	50.4347826086957	17393
377	23.9130434782609	76.0869565217391	52.1739130434783	17829
382	31.304347826087	68.2608695652174	36.9565217391304	13010
389	35.6521739130435	73.4782608695652	37.8260869565217	12861
