t_start	t_max	t_end	voltage	width	spacing	area	barcode	is_false_drop	id
5e-06	0.000175	0.00031	0.00957748083317403	0.000305	0.002155	2.27688038640895e-06	0	1	1
0.002465	0.00263	0.003275	0.00805160192692403	0.00081	-0.00081	6.38337515052122e-06	1	0	2
0.002465	0.003135	0.003275	0.011469570676924	0.00081	0.002875	6.38337515052122e-06	1	0	3
0.00615	0.00638	0.00652	0.00997420934879903	0.000370000000000001	0.000385	2.49231214837777e-06	2	0	4
0.006905	0.00709	0.00724	0.00905868200504903	0.000335	0.001495	2.2066913836698e-06	3	0	5
0.008735	0.00931	0.009465	0.011622158567549	0.000730000000000001	0.00484	5.50120988699229e-06	4	0	6
0.014305	0.014565	0.014805	0.011927334348799	0.000499999999999999	0.001655	4.39946351411226e-06	0	1	7
0.01646	0.017495	0.01768	0.010981289426924	0.00122	0.00128	8.43193794641946e-06	5	0	8
0.01896	0.02023	0.020425	0.010584560911299	0.001465	0.00333	9.77546054546899e-06	6	0	9
0.023755	0.02397	0.024085	0.00988265661442403	0.00033	0.003115	2.44277004395705e-06	0	1	10
0.0272	0.02735	0.02748	0.00783797888004903	0.000279999999999999	0.00131	1.5619794983921e-06	8	0	11
0.02879	0.02903	0.02915	0.00991317419254903	0.000359999999999999	0.00158	2.48702195918665e-06	9	0	12
0.03073	0.03098	0.03113	0.010340420286299	0.000400000000000001	0.000999999999999994	2.90872592884173e-06	10	0	13
0.03213	0.03233	0.032455	0.00936385778629903	0.000324999999999999	0.00181000000000001	2.15516706361931e-06	11	0	14
0.034265	0.03448	0.03465	0.00966903356754903	0.000384999999999996	0.00084	2.62895531790662e-06	12	0	15
0.03549	0.03571	0.035855	0.00973006872379903	0.000364999999999997	0.001265	2.5555087285869e-06	13	0	16
0.03712	0.037365	0.03751	0.00988265661442403	0.000390000000000001	0.001795	2.74367621816624e-06	14	0	17
0.039305	0.039885	0.040045	0.011591640989424	0.000740000000000005	0.001635	5.80664045704278e-06	15	0	18
0.04168	0.04182	0.04192	0.00783797888004903	0.000239999999999997	0.00125500000000001	1.34779505998701e-06	16	0	19
0.043175	0.043385	0.043545	0.00957748083317403	0.000369999999999995	0.0013	2.53961439447152e-06	17	0	20
0.044845	0.045055	0.0452	0.00939437536442403	0.000355000000000001	0.001565	2.44111819759891e-06	18	0	21
0.046765	0.046985	0.04711	0.00930282263004903	0.000344999999999998	0.00124	2.32443884825154e-06	19	0	22
0.04835	0.04856	0.0487	0.00936385778629903	0.000349999999999996	0.001485	2.41886555905804e-06	20	0	23
0.050185	0.050425	0.05056	0.00957748083317403	0.000375	0.001215	2.59406307793426e-06	21	0	24
0.051775	0.052	0.052145	0.00942489294254903	0.000370000000000002	0.001435	2.51153822259652e-06	22	0	25
0.05358	0.05382	0.053965	0.00957748083317403	0.000384999999999996	0.000705000000000004	2.67412133353163e-06	23	0	26
0.05467	0.05489	0.055015	0.00924178747379903	0.000344999999999998	0.001075	2.29666785215779e-06	24	0	27
0.05609	0.05627	0.05644	0.00924178747379903	0.000350000000000003	0.002195	2.33387410397991e-06	25	0	28
0.058635	0.05887	0.059025	0.00979110388004903	0.000390000000000001	0.00103	2.74779609121312e-06	26	0	29
0.060055	0.06024	0.060405	0.00960799841129903	0.000349999999999996	0.001655	2.38361775632366e-06	27	0	30
0.06206	0.062295	0.062435	0.00939437536442403	0.000375	0.00104	2.58612850762176e-06	28	0	31
0.063475	0.063685	0.06382	0.00954696325504903	0.000345000000000012	0.001275	2.39050940489217e-06	29	0	32
0.065095	0.06535	0.06547	0.00991317419254903	0.000375	0.00139	2.61557797051238e-06	30	0	33
0.06686	0.0671	0.06723	0.00976058630192403	0.000369999999999995	0.00119999999999999	2.59454603509651e-06	31	0	34
0.06843	0.068655	0.068795	0.00963851598942403	0.000365000000000004	0.000899999999999998	2.52972137507127e-06	32	0	35
0.069695	0.069895	0.07005	0.00966903356754903	0.000355000000000008	0.001845	2.46095462338016e-06	33	0	36
0.071895	0.072545	0.07269	0.011408535520674	0.00079499999999999	0.00174000000000001	6.21026347513298e-06	34	0	37
0.07443	0.07465	0.074775	0.00969955114567403	0.000344999999999998	0.00154	2.39234045957967e-06	35	0	38
0.076315	0.07654	0.07668	0.00957748083317403	0.000365000000000004	0.00115999999999999	2.51675140436815e-06	36	0	39
0.07784	0.07806	0.07819	0.00954696325504903	0.000350000000000003	0.001445	2.40330159421429e-06	37	0	40
0.079635	0.07989	0.08001	0.00957748083317403	0.000375	0.00101999999999999	2.58918026543426e-06	38	0	41
0.08103	0.08124	0.08137	0.00969955114567403	0.000340000000000007	0.00139499999999999	2.34307976439817e-06	39	0	42
0.082765	0.082995	0.08313	0.00945541052067403	0.000365000000000004	0.000950000000000006	2.48379241999315e-06	40	0	43
0.08408	0.08428	0.084425	0.00939437536442403	0.000344999999999998	0.001205	2.31162146543904e-06	41	0	44
0.08563	0.085885	0.086005	0.00951644567692403	0.000375	0.0013	2.55439022637176e-06	42	0	45
0.087305	0.08751	0.087655	0.00963851598942403	0.000350000000000003	0.000994999999999996	2.38407551999554e-06	43	0	46
0.08865	0.08889	0.08902	0.00966903356754903	0.000370000000000009	0.00114	2.60339613275276e-06	44	0	47
0.09016	0.09035	0.0905	0.00942489294254903	0.000339999999999993	0.00307500000000001	2.30325432494504e-06	45	0	48
