file  q_oil p_water q_emulsion  ac_v_pp ac_frequency t_off  video laser_focus
Signal_0 150 125 25  5 50 103.453 20230126_150005 1
Signal_1 150 115 25  5 50 95.259  20230126_150316 1
Signal_2 150 105 25  5 50 85.86 20230126_150543 1
Signal_3 150 95 25  5 50  111.522 20230126_150826 1
Signal_4 150 85 25  5 50  99.42 20230126_151211 1
Signal_5 150 130 25  5 50 91.924  20230126_151846 2
Signal_6 150 140 25  5 50 65.185  20230126_152110 2
Signal_7 300 120 50  5 50 42.4165 20230126_152554 2
Signal_8 300 130 50  5 50 51.202  20230126_152803 2
Signal_9 300 140 50  5 50 27.274  20230126_153009 2
Signal_10 300 150 50  5 50  51.295  20230126_153148 2
Signal_11 300 160 50  5 50  72.877  20230126_153320 2
Signal_12 300 170 50  5 50  53.892  20230126_153748 2
Signal_13 350 170 75  5 50  65.687  20230126_154032 2
Signal_14 350 180 75  5 50  49.954  20230126_154242 2
Signal_15 350 160 75  5 50  46.439  20230126_154418 2
Signal_16 350 190 75  5 50  45.762  20230126_154625 2
Signal_17 350 150 75  5 50  67.051  20230126_154753 2
Signal_18 350 140 75  5 50  65.627  20230126_154955 2
Signal_19 350 130 75  5 50  49.67 20230126_155159 2
Signal_20 400 180 100  5 50 42.05 20230126_155615 2
Signal_21 400 210 100  5 50 35.32 20230126_155751 2
Signal_22 400 165 100  5 50 39.146  20230126_155931 2
Signal_23 400 175 100  5 50 53.967  20230126_160114 2
Signal_24 400 190 100  5 50 60  20230126_160255 2
Signal_25 400 200 100  5 50 42.91 20230126_160449 2
Signal_26 450 200 125  5 50 40.211  20230126_160658 2
Signal_27 450 220 125  5 50 48.274  20230126_160842 2
Signal_28 450 180 125  5 50 53.7955 20230126_161023 2
Signal_29 600 295 200  5 50 37.419  20230126_161315 2
Signal_30 750 278 200  7.5 50 30.341  20230126_161315 2
Signal_31 750 260 200  7.5 50 35.355  20230126_161659 2
Signal_32 750 270 200  7.5 50 33.018  20230126_161850 2
Signal_33 2500 570 300  7.5 50  30.3045 20230126_162249 2
