Time [s]	Drucki Ch.  1(Target)[mbar]	Drucki Ch.  1(Read)[mbar]	Drucki Ch.  2(Target)[mbar]	Drucki Ch.  2(Read)[mbar]	Drucki Ch.  3(Target)[mbar]	Drucki Ch.  3(Read)[mbar]	Drucki Ch.  4(Target)[mbar]	Drucki Ch.  4(Read)[mbar]	
0.0000	0.0000	0.6125	50.0000	49.9750	0.0000	0.9701	0.0000	0.8333	
0.0730	0.0000	0.6046	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
0.1730	0.0000	0.6046	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
0.2730	0.0000	0.6046	50.0000	49.9750	0.0000	0.9011	0.0000	0.8333	
0.3730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
0.4730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.8333	
0.5730	0.0000	0.6046	50.0000	49.9750	0.0000	0.9011	0.0000	0.9808	
0.6730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
0.7730	0.0000	0.6204	50.0000	50.0375	0.0000	1.0392	0.0000	0.9808	
0.8730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
0.9730	0.0000	0.6125	50.0000	50.0375	0.0000	0.9011	0.0000	0.9071	
1.0730	0.0000	0.6125	50.0000	50.0375	0.0000	0.9011	0.0000	0.9808	
1.1730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
1.2730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
1.3730	0.0000	0.6046	50.0000	49.9750	0.0000	0.9701	0.0000	0.9808	
1.4730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
1.5730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
1.6730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.8333	
1.7730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9701	0.0000	0.8333	
1.8730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
1.9730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
2.0730	0.0000	0.6283	50.0000	49.9126	0.0000	0.9011	0.0000	0.8333	
2.1730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
2.2730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
2.3730	0.0000	0.6046	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
