"Time (s)";"Abs.Timestamp";"neMESYS_Low_Pressure_1.ActualFlow";"neMESYS_Low_Pressure_2.ActualFlow";"neMESYS_Low_Pressure_3.ActualFlow"
"0,000000";"2022-08-05 15:06:34:569";"10";"10";"0"
"0,100000";"2022-08-05 15:06:34:669";"10";"10";"0"
"0,200000";"2022-08-05 15:06:34:769";"10";"10";"0"
"0,300000";"2022-08-05 15:06:34:869";"10";"10";"0"
"0,400000";"2022-08-05 15:06:34:969";"10";"10";"0"
"0,500000";"2022-08-05 15:06:35:069";"10";"10";"0"
"0,600000";"2022-08-05 15:06:35:169";"10";"10";"0"
"0,700000";"2022-08-05 15:06:35:269";"10";"10";"0"
"0,800000";"2022-08-05 15:06:35:369";"10";"10";"0"
"0,900000";"2022-08-05 15:06:35:469";"10";"10";"0"
"1,000000";"2022-08-05 15:06:35:569";"10";"10";"0"
"1,100000";"2022-08-05 15:06:35:669";"10";"10";"0"
"1,200000";"2022-08-05 15:06:35:769";"10";"10";"0"
"1,300000";"2022-08-05 15:06:35:869";"10";"10";"0"
"1,400000";"2022-08-05 15:06:35:969";"10";"10";"0"
"1,500000";"2022-08-05 15:06:36:069";"10";"10";"0"
"1,600000";"2022-08-05 15:06:36:169";"10";"10";"0"
"1,700000";"2022-08-05 15:06:36:269";"10";"10";"0"
"1,800000";"2022-08-05 15:06:36:369";"10";"10";"0"
"1,900000";"2022-08-05 15:06:36:469";"10";"10";"0"
"2,000000";"2022-08-05 15:06:36:569";"10";"10";"0"
"2,100000";"2022-08-05 15:06:36:669";"10";"10";"0"
"2,200000";"2022-08-05 15:06:36:769";"10";"10";"0"
"2,300000";"2022-08-05 15:06:36:869";"10";"10";"0"
"2,400000";"2022-08-05 15:06:36:969";"10";"10";"0"
"2,500000";"2022-08-05 15:06:37:069";"10";"10";"0"
"2,600000";"2022-08-05 15:06:37:169";"10";"10";"0"
"2,700000";"2022-08-05 15:06:37:269";"10";"10";"0"
"2,800000";"2022-08-05 15:06:37:369";"10";"10";"0"
"2,900000";"2022-08-05 15:06:37:469";"10";"10";"0"
"3,000000";"2022-08-05 15:06:37:569";"10";"10";"0"
"3,100000";"2022-08-05 15:06:37:669";"10";"10";"0"
"3,200000";"2022-08-05 15:06:37:769";"10";"10";"0"
"3,300000";"2022-08-05 15:06:37:869";"10";"10";"0"
"3,400000";"2022-08-05 15:06:37:969";"10";"10";"0"
"3,500000";"2022-08-05 15:06:38:069";"10";"10";"0"
"3,600000";"2022-08-05 15:06:38:169";"10";"10";"0"
"3,700000";"2022-08-05 15:06:38:269";"10";"10";"0"
"3,800000";"2022-08-05 15:06:38:369";"10";"10";"0"
"3,900000";"2022-08-05 15:06:38:469";"10";"10";"0"
"4,000000";"2022-08-05 15:06:38:569";"10";"10";"0"
"4,100000";"2022-08-05 15:06:38:669";"10";"10";"0"
"4,200000";"2022-08-05 15:06:38:769";"10";"10";"0"
"4,300000";"2022-08-05 15:06:38:869";"10";"10";"0"
"4,400000";"2022-08-05 15:06:38:969";"10";"10";"0"
"4,500000";"2022-08-05 15:06:39:069";"10";"10";"0"
"4,600000";"2022-08-05 15:06:39:169";"10";"10";"0"
"4,700000";"2022-08-05 15:06:39:269";"10";"10";"0"
"4,800000";"2022-08-05 15:06:39:369";"10";"10";"0"
"4,900000";"2022-08-05 15:06:39:469";"10";"10";"0"
"5,000000";"2022-08-05 15:06:39:569";"10";"10";"0"
"5,100000";"2022-08-05 15:06:39:669";"10";"10";"0"
"5,200000";"2022-08-05 15:06:39:769";"10";"10";"0"
"5,300000";"2022-08-05 15:06:39:869";"10";"10";"0"
"5,400000";"2022-08-05 15:06:39:969";"10";"10";"0"
"5,500000";"2022-08-05 15:06:40:069";"10";"10";"0"
"5,600000";"2022-08-05 15:06:40:169";"10";"10";"0"
"5,700000";"2022-08-05 15:06:40:269";"10";"10";"0"
