Scan Parameters

Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 �m
Length,41000.0 um
Duration,273 sec
Resolution,0.500 um/sample
Force,1.00 mg
Measurement Range,524 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 100.0 um Width: 0.0 um
M. Cursor,Pos: 1900.0 um Width: 0.0 um


Scan Data

Lateral um,Raw Nanometer,
0.0,1.85,,
0.5,1.22,,
1.0,0.59,,
1.5,0.00,,
2.0,-0.51,,
2.5,-0.95,,
3.0,-1.32,,
3.5,-1.63,,
4.0,-1.88,,
4.5,-2.08,,
5.0,-2.24,,
5.5,-2.37,,
6.0,-2.47,,
6.5,-2.55,,
7.0,-2.61,,
7.5,-2.66,,
8.0,-3.40,,
8.5,-4.46,,
9.0,-4.91,,
9.5,-5.00,,
10.0,-4.90,,
10.5,-5.39,,
11.0,-6.18,,
11.5,-6.36,,
12.0,-6.91,,
12.5,-6.91,,
13.0,-7.32,,
13.5,-7.92,,
14.0,-8.58,,
14.5,-9.23,,
15.0,-9.82,,
15.5,-10.34,,
16.0,-10.78,,
16.5,-11.15,,
17.0,-11.46,,
17.5,-11.70,,
18.0,-11.90,,
18.5,-12.06,,
19.0,-12.19,,
19.5,-12.29,,
20.0,-13.07,,
20.5,-13.46,,
21.0,-14.31,,
21.5,-14.65,,
22.0,-15.39,,
22.5,-15.59,,
23.0,-16.19,,
23.5,-16.96,,
24.0,-17.77,,
24.5,-17.83,,
25.0,-18.20,,
25.5,-18.70,,
26.0,-19.24,,
26.5,-19.76,,
27.0,-20.23,,
27.5,-20.64,,
28.0,-20.99,,
28.5,-21.29,,
29.0,-21.53,,
29.5,-21.72,,
30.0,-21.88,,
30.5,-22.01,,
31.0,-22.11,,
31.5,-22.89,,
32.0,-23.28,,
32.5,-23.43,,
33.0,-22.73,,
33.5,-22.34,,
34.0,-21.44,,
34.5,-20.32,,
35.0,-19.17,,
35.5,-18.09,,
36.0,-17.11,,
36.5,-16.27,,
37.0,-15.56,,
37.5,-14.97,,
38.0,-14.48,,
38.5,-14.09,,
39.0,-13.78,,
39.5,-13.53,,
40.0,-13.33,,
40.5,-13.17,,
41.0,-13.05,,
41.5,-12.96,,
42.0,-12.88,,
42.5,-12.83,,
43.0,-12.08,,
43.5,-11.01,,
44.0,-10.56,,
44.5,-9.76,,
45.0,-8.84,,
45.5,-7.91,,
46.0,-7.05,,
46.5,-6.28,,
47.0,-5.62,,
47.5,-5.07,,
48.0,-5.32,,
48.5,-5.27,,
49.0,-5.77,,
49.5,-5.83,,
50.0,-5.65,,
50.5,-5.34,,
51.0,-5.71,,
51.5,-5.69,,
52.0,-6.18,,
52.5,-6.21,,
53.0,-5.97,,
53.5,-5.63,,
54.0,-5.24,,
54.5,-4.86,,
55.0,-4.51,,
55.5,-4.20,,
56.0,-3.93,,
56.5,-3.71,,
57.0,-3.53,,
57.5,-3.38,,
58.0,-3.26,,
58.5,-3.17,,
59.0,-3.09,,
59.5,-3.03,,
60.0,-2.98,,
60.5,-2.95,,
61.0,-2.92,,
61.5,-2.89,,
62.0,-2.88,,
62.5,-2.86,,
63.0,-2.15,,
63.5,-1.11,,
64.0,0.03,,
64.5,0.43,,
65.0,0.42,,
65.5,0.18,,
66.0,-0.17,,
66.5,-0.54,,
67.0,-0.20,,
67.5,0.49,,
68.0,0.63,,
68.5,1.16,,
69.0,1.16,,
69.5,1.58,,
70.0,1.49,,
70.5,1.83,,
71.0,2.39,,
71.5,2.31,,
72.0,1.90,,
72.5,2.05,,
73.0,1.78,,
73.5,2.01,,
74.0,1.78,,
74.5,1.33,,
75.0,0.79,,
75.5,0.25,,
76.0,-0.27,,
76.5,-0.02,,
77.0,-0.09,,
77.5,-0.32,,
78.0,-0.63,,
78.5,-0.95,,
79.0,-0.55,,
79.5,0.20,,
80.0,1.09,,
80.5,1.29,,
81.0,1.81,,
81.5,1.75,,
82.0,2.10,,
82.5,2.63,,
83.0,3.23,,
83.5,3.12,,
84.0,3.34,,
84.5,3.01,,
85.0,3.13,,
85.5,3.46,,
86.0,3.90,,
86.5,3.65,,
87.0,3.75,,
87.5,3.34,,
88.0,3.38,,
88.5,3.66,,
89.0,4.05,,
89.5,4.47,,
90.0,4.88,,
90.5,5.25,,
91.0,5.57,,
91.5,5.84,,
92.0,6.08,,
92.5,6.26,,
93.0,6.42,,
93.5,6.54,,
94.0,6.64,,
94.5,6.72,,
95.0,6.78,,
95.5,6.83,,
96.0,6.16,,
96.5,5.87,,
97.0,5.79,,
97.5,5.83,,
98.0,5.94,,
98.5,6.07,,
99.0,6.21,,
99.5,6.34,,
100.0,6.46,,
100.5,6.56,,
101.0,6.64,,
101.5,6.71,,
102.0,6.77,,
102.5,6.12,,
103.0,5.83,,
103.5,5.76,,
104.0,5.81,,
104.5,5.92,,
105.0,6.06,,
105.5,6.20,,
106.0,6.33,,
106.5,6.45,,
107.0,6.55,,
107.5,6.64,,
108.0,6.71,,
108.5,6.07,,
109.0,5.08,,
109.5,4.69,,
110.0,4.65,,
110.5,4.09,,
111.0,3.30,,
111.5,3.13,,
112.0,2.62,,
112.5,2.66,,
113.0,2.99,,
113.5,3.45,,
114.0,3.96,,
114.5,4.45,,
115.0,4.89,,
115.5,5.28,,
116.0,5.61,,
116.5,5.89,,
117.0,6.12,,
117.5,6.30,,
118.0,5.75,,
118.5,5.54,,
119.0,4.83,,
119.5,5.31,,
120.0,5.68,,
120.5,5.98,,
121.0,5.51,,
121.5,5.36,,
122.0,4.70,,
122.5,4.50,,
123.0,4.58,,
123.5,4.79,,
124.0,5.07,,
124.5,5.35,,
125.0,5.62,,
125.5,5.86,,
126.0,6.08,,
126.5,6.26,,
127.0,6.40,,
127.5,5.82,,
128.0,5.60,,
128.5,5.57,,
129.0,5.66,,
129.5,5.81,,
130.0,5.97,,
130.5,6.13,,
131.0,6.98,,
131.5,7.44,,
132.0,8.36,,
132.5,8.75,,
133.0,8.84,,
133.5,8.75,,
134.0,8.58,,
134.5,8.37,,
135.0,8.16,,
135.5,7.97,,
136.0,7.79,,
136.5,6.94,,
137.0,5.78,,
137.5,5.25,,
138.0,5.09,,
138.5,5.14,,
139.0,5.30,,
139.5,5.50,,
140.0,5.72,,
140.5,5.93,,
141.0,6.12,,
141.5,6.99,,
142.0,7.45,,
142.5,7.67,,
143.0,7.74,,
143.5,7.72,,
144.0,7.66,,
144.5,7.58,,
145.0,7.49,,
145.5,7.41,,
146.0,7.34,,
146.5,6.57,,
147.0,6.19,,
147.5,6.04,,
148.0,6.03,,
148.5,6.10,,
149.0,6.19,,
149.5,6.30,,
150.0,7.12,,
150.5,7.54,,
151.0,7.73,,
151.5,7.78,,
152.0,7.75,,
152.5,7.68,,
153.0,8.30,,
153.5,8.54,,
154.0,8.55,,
154.5,7.75,,
155.0,7.26,,
155.5,6.98,,
156.0,6.83,,
156.5,6.76,,
157.0,6.74,,
157.5,6.75,,
158.0,6.77,,
158.5,6.80,,
159.0,6.83,,
159.5,6.86,,
160.0,7.58,,
160.5,7.93,,
161.0,8.05,,
161.5,7.34,,
162.0,7.63,,
162.5,7.04,,
163.0,7.43,,
163.5,6.90,,
164.0,7.32,,
164.5,6.83,,
165.0,6.57,,
165.5,6.46,,
166.0,7.15,,
166.5,7.50,,
167.0,7.66,,
167.5,7.69,,
168.0,7.66,,
168.5,7.60,,
169.0,8.22,,
169.5,8.47,,
170.0,8.50,,
170.5,7.70,,
171.0,7.22,,
171.5,6.95,,
172.0,6.81,,
172.5,6.74,,
173.0,6.73,,
173.5,7.44,,
174.0,7.09,,
174.5,6.89,,
175.0,6.80,,
175.5,7.46,,
176.0,7.78,,
176.5,8.61,,
177.0,8.93,,
177.5,9.67,,
178.0,9.87,,
178.5,9.78,,
179.0,9.53,,
179.5,9.21,,
180.0,8.18,,
180.5,6.84,,
181.0,6.13,,
181.5,5.81,,
182.0,5.73,,
182.5,5.77,,
183.0,5.88,,
183.5,6.02,,
184.0,6.87,,
184.5,7.33,,
185.0,8.26,,
185.5,8.67,,
186.0,9.47,,
186.5,9.72,,
187.0,10.37,,
187.5,10.47,,
188.0,10.28,,
188.5,9.94,,
189.0,8.84,,
189.5,8.12,,
190.0,7.65,,
190.5,7.36,,
191.0,6.47,,
191.5,6.03,,
192.0,5.86,,
192.5,6.56,,
193.0,6.96,,
193.5,7.89,,
194.0,9.02,,
194.5,10.19,,
195.0,10.58,,
195.5,11.24,,
196.0,11.29,,
196.5,11.71,,
197.0,11.60,,
197.5,11.21,,
198.0,10.70,,
198.5,10.16,,
199.0,9.64,,
199.5,9.18,,
200.0,8.77,,
200.5,8.43,,
201.0,8.14,,
201.5,7.90,,
202.0,8.41,,
202.5,9.29,,
203.0,10.30,,
203.5,11.31,,
204.0,11.54,,
204.5,12.04,,
205.0,11.95,,
205.5,12.25,,
206.0,12.03,,
206.5,12.26,,
207.0,12.00,,
207.5,11.51,,
208.0,11.62,,
208.5,11.35,,
209.0,10.89,,
209.5,11.07,,
210.0,10.88,,
210.5,11.20,,
211.0,11.77,,
211.5,12.44,,
212.0,13.11,,
212.5,13.74,,
213.0,13.59,,
213.5,13.74,,
214.0,13.34,,
214.5,12.67,,
215.0,11.90,,
215.5,11.14,,
216.0,10.43,,
216.5,10.51,,
217.0,10.30,,
217.5,10.66,,
218.0,10.58,,
218.5,10.99,,
219.0,10.92,,
219.5,10.61,,
220.0,10.88,,
220.5,11.45,,
221.0,12.14,,
221.5,12.14,,
222.0,11.78,,
222.5,11.24,,
223.0,10.64,,
223.5,10.77,,
224.0,10.56,,
224.5,10.20,,
225.0,9.77,,
225.5,9.35,,
226.0,8.95,,
226.5,9.30,,
227.0,10.02,,
227.5,10.90,,
228.0,11.79,,
228.5,12.63,,
229.0,13.38,,
229.5,14.03,,
230.0,14.58,,
230.5,15.03,,
231.0,14.70,,
231.5,13.97,,
232.0,13.08,,
232.5,12.16,,
233.0,11.30,,
233.5,10.53,,
234.0,9.86,,
234.5,10.01,,
235.0,9.87,,
235.5,10.29,,
236.0,10.98,,
236.5,11.77,,
237.0,11.85,,
237.5,12.25,,
238.0,12.79,,
238.5,13.37,,
239.0,13.93,,
239.5,14.43,,
240.0,14.17,,
240.5,13.52,,
241.0,12.70,,
241.5,11.85,,
242.0,11.05,,
242.5,11.03,,
243.0,10.73,,
243.5,11.01,,
244.0,11.57,,
244.5,12.25,,
245.0,12.94,,
245.5,13.59,,
246.0,14.17,,
246.5,14.67,,
247.0,15.09,,
247.5,15.44,,
248.0,15.72,,
248.5,15.25,,
249.0,15.11,,
249.5,14.45,,
250.0,14.27,,
250.5,13.65,,
251.0,13.54,,
251.5,13.72,,
252.0,14.04,,
252.5,14.41,,
253.0,14.78,,
253.5,15.12,,
254.0,15.43,,
254.5,15.69,,
255.0,15.91,,
255.5,16.10,,
256.0,15.54,,
256.5,15.34,,
257.0,15.33,,
257.5,15.43,,
258.0,15.59,,
258.5,15.06,,
259.0,14.19,,
259.5,13.21,,
260.0,12.24,,
260.5,11.35,,
261.0,10.55,,
261.5,10.58,,
262.0,11.04,,
262.5,11.70,,
263.0,12.42,,
263.5,13.12,,
264.0,13.76,,
264.5,14.32,,
265.0,14.80,,
265.5,15.20,,
266.0,14.83,,
266.5,14.77,,
267.0,14.18,,
267.5,14.06,,
268.0,13.48,,
268.5,13.41,,
269.0,12.92,,
269.5,12.93,,
270.0,13.21,,
270.5,13.62,,
271.0,14.07,,
271.5,14.51,,
272.0,14.91,,
272.5,15.96,,
273.0,16.59,,
273.5,16.94,,
274.0,17.12,,
274.5,17.19,,
275.0,17.21,,
275.5,16.48,,
276.0,16.12,,
276.5,15.27,,
277.0,14.92,,
277.5,14.17,,
278.0,13.95,,
278.5,14.04,,
279.0,14.29,,
279.5,14.60,,
280.0,14.93,,
280.5,15.94,,
281.0,16.55,,
281.5,17.60,,
282.0,18.10,,
282.5,18.28,,
283.0,18.27,,
283.5,18.16,,
284.0,17.30,,
284.5,16.81,,
285.0,15.84,,
285.5,15.39,,
286.0,15.25,,
286.5,14.58,,
287.0,14.38,,
287.5,14.45,,
288.0,15.36,,
288.5,15.95,,
289.0,17.04,,
289.5,17.60,,
290.0,18.55,,
290.5,18.93,,
291.0,19.69,,
291.5,19.89,,
292.0,19.78,,
292.5,19.51,,
293.0,19.17,,
293.5,18.11,,
294.0,17.45,,
294.5,17.05,,
295.0,16.82,,
295.5,16.70,,
296.0,16.64,,
296.5,16.62,,
297.0,16.62,,
297.5,17.34,,
298.0,18.39,,
298.5,19.55,,
299.0,20.67,,
299.5,21.00,,
300.0,21.58,,
300.5,21.55,,
301.0,21.90,,
301.5,21.72,,
302.0,21.27,,
302.5,20.71,,
303.0,20.13,,
303.5,19.58,,
304.0,19.09,,
304.5,18.66,,
305.0,18.30,,
305.5,18.70,,
306.0,18.78,,
306.5,19.39,,
307.0,20.23,,
307.5,21.14,,
308.0,22.03,,
308.5,22.83,,
309.0,23.53,,
309.5,24.13,,
310.0,24.63,,
310.5,24.34,,
311.0,24.35,,
311.5,24.51,,
312.0,24.05,,
312.5,23.28,,
313.0,22.41,,
313.5,21.54,,
314.0,20.73,,
314.5,20.02,,
315.0,19.41,,
315.5,18.89,,
316.0,18.47,,
316.5,18.83,,
317.0,19.58,,
317.5,20.48,,
318.0,21.41,,
318.5,22.28,,
319.0,23.06,,
319.5,23.73,,
320.0,24.30,,
320.5,24.07,,
321.0,23.43,,
321.5,22.61,,
322.0,21.75,,
322.5,21.64,,
323.0,21.24,,
323.5,21.41,,
324.0,21.87,,
324.5,22.46,,
325.0,23.08,,
325.5,23.66,,
326.0,24.19,,
326.5,24.65,,
327.0,25.03,,
327.5,25.35,,
328.0,24.91,,
328.5,24.80,,
329.0,24.17,,
329.5,23.30,,
330.0,22.37,,
330.5,21.47,,
331.0,21.36,,
331.5,21.68,,
332.0,22.21,,
332.5,22.80,,
333.0,23.40,,
333.5,23.95,,
334.0,24.44,,
334.5,24.86,,
335.0,25.21,,
335.5,25.50,,
336.0,25.73,,
336.5,25.22,,
337.0,25.05,,
337.5,24.36,,
338.0,23.46,,
338.5,22.49,,
339.0,22.27,,
339.5,21.76,,
340.0,21.84,,
340.5,21.52,,
341.0,21.71,,
341.5,21.47,,
342.0,21.70,,
342.5,22.18,,
343.0,22.76,,
343.5,23.35,,
344.0,23.90,,
344.5,24.39,,
345.0,24.81,,
345.5,25.17,,
346.0,24.76,,
346.5,23.97,,
347.0,23.04,,
347.5,22.09,,
348.0,21.20,,
348.5,20.41,,
349.0,20.43,,
349.5,20.89,,
350.0,21.55,,
350.5,22.26,,
351.0,22.96,,
351.5,23.60,,
352.0,24.86,,
352.5,25.66,,
353.0,26.16,,
353.5,26.46,,
354.0,26.64,,
354.5,26.73,,
355.0,26.77,,
355.5,26.08,,
356.0,25.75,,
356.5,24.93,,
357.0,23.91,,
357.5,23.56,,
358.0,23.59,,
358.5,23.82,,
359.0,24.15,,
359.5,25.21,,
360.0,25.88,,
360.5,26.29,,
361.0,26.53,,
361.5,26.67,,
362.0,26.74,,
362.5,26.77,,
363.0,26.78,,
363.5,26.77,,
364.0,26.76,,
364.5,26.04,,
365.0,25.69,,
365.5,25.57,,
366.0,25.59,,
366.5,25.67,,
367.0,25.78,,
367.5,26.61,,
368.0,27.05,,
368.5,27.26,,
369.0,27.32,,
369.5,27.31,,
370.0,27.25,,
370.5,27.18,,
371.0,26.39,,
371.5,25.29,,
372.0,24.79,,
372.5,23.95,,
373.0,23.69,,
373.5,23.06,,
374.0,22.98,,
374.5,23.20,,
375.0,23.56,,
375.5,23.97,,
376.0,24.39,,
376.5,25.47,,
377.0,26.14,,
377.5,27.23,,
378.0,27.78,,
378.5,27.99,,
379.0,28.00,,
379.5,27.91,,
380.0,27.77,,
380.5,27.61,,
381.0,26.75,,
381.5,26.29,,
382.0,26.06,,
382.5,25.98,,
383.0,25.28,,
383.5,25.00,,
384.0,24.97,,
384.5,25.07,,
385.0,25.23,,
385.5,26.13,,
386.0,26.64,,
386.5,26.92,,
387.0,27.75,,
387.5,28.11,,
388.0,28.91,,
388.5,29.17,,
389.0,29.13,,
389.5,28.92,,
390.0,28.65,,
390.5,27.66,,
391.0,27.05,,
391.5,26.69,,
392.0,26.50,,
392.5,26.40,,
393.0,26.37,,
393.5,26.37,,
394.0,27.09,,
394.5,27.44,,
395.0,28.28,,
395.5,28.61,,
396.0,29.35,,
396.5,30.25,,
397.0,30.48,,
397.5,30.32,,
398.0,29.97,,
398.5,29.55,,
399.0,29.11,,
399.5,28.70,,
400.0,28.33,,
400.5,28.01,,
401.0,27.74,,
401.5,27.51,,
402.0,27.33,,
402.5,27.88,,
403.0,28.09,,
403.5,28.80,,
404.0,29.03,,
404.5,29.68,,
405.0,29.81,,
405.5,29.65,,
406.0,29.35,,
406.5,29.70,,
407.0,29.66,,
407.5,29.43,,
408.0,28.40,,
408.5,35.46,,
409.0,89.27,,
409.5,210.75,,
409.9,405.53,,
410.4,670.69,,
410.8,1000.32,,
411.2,1385.93,,
411.6,1818.95,,
412.0,2288.58,,
412.4,2784.98,,
412.8,3305.89,,
413.2,3850.46,,
413.5,4415.82,,
413.9,4996.14,,
414.3,5586.51,,
414.6,6185.69,,
415.0,6792.38,,
415.4,7404.65,,
415.8,8010.50,,
416.1,8609.59,,
416.5,9205.03,,
416.9,9798.76,,
417.2,10384.90,,
417.6,10960.14,,
418.0,11519.97,,
418.4,12062.36,,
418.8,12589.61,,
419.1,13106.11,,
419.5,13616.43,,
419.9,14124.14,,
420.3,14632.06,,
420.7,15140.98,,
421.1,15649.84,,
421.5,16157.38,,
421.9,16665.12,,
422.3,17174.57,,
422.6,17688.54,,
423.0,18207.49,,
423.4,18729.20,,
423.8,19253.70,,
424.2,19780.10,,
424.6,20307.08,,
425.0,20832.48,,
425.3,21353.86,,
425.7,21869.48,,
426.1,22378.83,,
426.5,22880.68,,
426.9,23376.30,,
