Scan Parameters

Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 �m
Length,41000.0 um
Duration,136 sec
Resolution,1.000 um/sample
Force,1.00 mg
Measurement Range,65.5 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 100.0 um Width: 0.0 um
M. Cursor,Pos: 1900.0 um Width: 0.0 um


Scan Data

Lateral um,Raw Nanometer,
0.0,-2.14,,
1.0,-0.63,,
2.0,1.09,,
3.0,2.19,,
4.0,3.14,,
5.0,3.49,,
6.0,3.86,,
7.0,4.21,,
8.0,4.44,,
9.0,4.85,,
10.0,4.97,,
11.0,5.29,,
12.0,5.60,,
13.0,6.32,,
14.0,6.96,,
15.0,7.85,,
16.0,8.37,,
17.0,8.84,,
18.0,9.15,,
19.0,9.18,,
20.0,8.97,,
21.0,8.55,,
22.0,7.61,,
23.0,5.74,,
24.0,4.57,,
25.0,4.67,,
26.0,5.00,,
27.0,6.05,,
28.0,6.96,,
29.0,7.91,,
30.0,9.18,,
31.0,10.43,,
32.0,11.76,,
33.0,13.22,,
34.0,14.46,,
35.0,15.77,,
36.0,16.93,,
37.0,18.10,,
38.0,19.02,,
39.0,20.09,,
40.0,21.08,,
41.0,21.77,,
42.0,22.44,,
43.0,23.31,,
44.0,24.76,,
45.0,28.21,,
46.0,32.65,,
47.0,34.27,,
48.0,35.26,,
49.0,34.93,,
50.0,34.91,,
51.0,34.25,,
52.0,33.83,,
53.0,33.13,,
54.0,33.03,,
55.0,32.91,,
56.0,33.05,,
57.0,33.15,,
58.0,33.30,,
59.0,33.74,,
60.0,33.86,,
61.0,34.24,,
62.0,34.56,,
63.0,35.09,,
64.0,35.51,,
65.0,35.94,,
66.0,36.25,,
67.0,36.47,,
68.0,36.72,,
69.0,37.06,,
70.0,37.42,,
71.0,37.58,,
72.0,37.73,,
73.0,38.11,,
74.0,38.51,,
75.0,39.15,,
76.0,39.97,,
77.0,40.73,,
78.0,41.42,,
79.0,42.27,,
80.0,43.42,,
81.0,44.48,,
82.0,45.49,,
83.0,46.14,,
84.0,46.82,,
85.0,47.38,,
86.0,48.00,,
87.0,48.45,,
88.0,48.58,,
89.0,48.63,,
90.0,48.63,,
91.0,48.78,,
92.0,49.00,,
93.0,49.33,,
94.0,49.70,,
95.0,50.32,,
96.0,51.05,,
97.0,51.86,,
98.0,52.74,,
99.0,54.15,,
100.0,55.19,,
101.0,56.23,,
102.0,57.02,,
103.0,57.52,,
104.0,57.84,,
105.0,58.04,,
106.0,58.24,,
107.0,58.35,,
108.0,58.31,,
109.0,58.18,,
110.0,58.21,,
111.0,58.67,,
112.0,59.32,,
113.0,60.13,,
114.0,60.60,,
115.0,60.77,,
116.0,61.30,,
117.0,61.63,,
