Scan Parameters

Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 �m
Length,41000.0 um
Duration,273 sec
Resolution,0.500 um/sample
Force,1.00 mg
Measurement Range,524 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 100.0 um Width: 0.0 um
M. Cursor,Pos: 1900.0 um Width: 0.0 um


Scan Data

Lateral um,Raw Nanometer,
0.0,-1.74,,
0.5,-0.41,,
1.0,0.98,,
1.5,3.00,,
2.0,4.51,,
2.5,5.64,,
3.0,6.48,,
3.5,6.41,,
4.0,6.55,,
4.5,6.10,,
5.0,5.35,,
5.5,4.51,,
6.0,3.67,,
6.5,2.90,,
7.0,2.92,,
7.5,2.66,,
8.0,2.27,,
8.5,1.83,,
9.0,1.41,,
9.5,1.72,,
10.0,2.41,,
10.5,3.24,,
11.0,4.10,,
11.5,4.91,,
12.0,6.34,,
12.5,7.29,,
13.0,12.14,,
13.5,15.93,,
14.0,16.75,,
14.5,15.23,,
15.0,12.55,,
15.5,9.45,,
16.0,7.05,,
16.5,4.50,,
17.0,2.74,,
17.5,0.84,,
18.0,-0.30,,
18.5,-0.96,,
19.0,1.52,,
19.5,6.89,,
20.0,12.74,,
20.5,21.94,,
21.0,28.05,,
21.5,32.07,,
22.0,33.97,,
22.5,33.91,,
23.0,34.90,,
23.5,34.98,,
24.0,33.15,,
24.5,28.33,,
25.0,22.25,,
25.5,15.92,,
26.0,9.92,,
26.5,4.52,,
27.0,0.53,,
27.5,-1.70,,
28.0,-2.84,,
28.5,4.43,,
29.0,17.10,,
29.5,26.83,,
30.0,30.76,,
30.5,36.23,,
31.0,44.25,,
31.5,45.32,,
32.0,42.58,,
32.5,38.00,,
33.0,32.75,,
33.5,27.53,,
34.0,22.70,,
34.5,17.71,,
35.0,13.01,,
35.5,8.79,,
36.0,5.13,,
36.5,2.03,,
37.0,-0.54,,
37.5,-1.94,,
38.0,-3.32,,
38.5,-4.58,,
39.0,-5.70,,
39.5,-6.65,,
40.0,-7.45,,
40.5,-8.82,,
41.0,-9.68,,
41.5,-10.92,,
42.0,-12.27,,
42.5,-13.58,,
43.0,-14.08,,
43.5,-14.10,,
44.0,-13.87,,
44.5,-13.51,,
45.0,-13.12,,
45.5,-13.44,,
46.0,-13.41,,
46.5,-13.90,,
47.0,-14.64,,
47.5,-15.45,,
48.0,-16.25,,
48.5,-17.69,,
49.0,-18.66,,
49.5,-19.31,,
50.0,-19.74,,
50.5,-20.03,,
51.0,-20.22,,
51.5,-19.63,,
52.0,-19.38,,
52.5,-18.62,,
53.0,-17.65,,
53.5,-16.62,,
54.0,-15.65,,
54.5,-14.77,,
55.0,-14.00,,
55.5,-13.35,,
56.0,-13.52,,
56.5,-14.11,,
57.0,-14.88,,
57.5,-15.70,,
58.0,-17.18,,
58.5,-18.21,,
59.0,-19.64,,
59.5,-20.46,,
60.0,-20.90,,
60.5,-21.11,,
61.0,-20.48,,
61.5,-19.43,,
62.0,-18.24,,
62.5,-17.07,,
63.0,-15.97,,
63.5,-15.71,,
64.0,-15.92,,
64.5,-16.35,,
65.0,-16.18,,
65.5,-17.10,,
66.0,-17.84,,
66.5,-19.13,,
67.0,-20.62,,
67.5,-22.11,,
68.0,-22.80,,
68.5,-23.70,,
69.0,-23.96,,
69.5,-23.85,,
70.0,-22.84,,
70.5,-22.14,,
71.0,-20.94,,
71.5,-20.26,,
72.0,-19.91,,
72.5,-19.77,,
73.0,-20.45,,
73.5,-21.52,,
74.0,-22.72,,
74.5,-23.91,,
75.0,-24.30,,
75.5,-24.24,,
76.0,-24.64,,
76.5,-25.26,,
77.0,-25.96,,
77.5,-26.64,,
78.0,-26.57,,
78.5,-26.80,,
79.0,-26.47,,
79.5,-25.86,,
80.0,-24.45,,
80.5,-22.70,,
81.0,-22.31,,
81.5,-21.27,,
82.0,-21.36,,
82.5,-21.34,,
83.0,-21.98,,
83.5,-22.92,,
84.0,-23.95,,
84.5,-24.96,,
85.0,-25.88,,
85.5,-26.70,,
86.0,-27.39,,
86.5,-27.27,,
87.0,-26.72,,
87.5,-25.27,,
