Scan Parameters

Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 �m
Length,41000.0 um
Duration,273 sec
Resolution,0.500 um/sample
Force,1.00 mg
Measurement Range,524 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 100.0 um Width: 0.0 um
M. Cursor,Pos: 1900.0 um Width: 0.0 um


Scan Data

Lateral um,Raw Nanometer,
0.0,1.54,,
0.5,0.89,,
1.0,0.24,,
1.5,-0.36,,
2.0,-0.90,,
2.5,-1.36,,
3.0,-1.75,,
3.5,-2.07,,
4.0,-1.63,,
4.5,-0.81,,
5.0,-0.55,,
5.5,-0.61,,
6.0,-0.84,,
6.5,-0.44,,
7.0,-0.43,,
7.5,-0.63,,
8.0,-0.94,,
8.5,-1.27,,
9.0,-2.30,,
9.5,-3.63,,
10.0,-5.03,,
10.5,-6.36,,
11.0,-7.56,,
11.5,-8.60,,
12.0,-8.78,,
12.5,-8.49,,
13.0,-7.96,,
13.5,-7.35,,
14.0,-6.73,,
14.5,-6.16,,
15.0,-5.65,,
15.5,-5.91,,
16.0,-6.57,,
16.5,-7.40,,
17.0,-8.25,,
17.5,-9.06,,
18.0,-10.49,,
18.5,-12.15,,
19.0,-13.82,,
19.5,-15.37,,
20.0,-16.04,,
20.5,-16.19,,
21.0,-16.06,,
21.5,-15.77,,
22.0,-15.43,,
22.5,-15.09,,
23.0,-14.06,,
23.5,-13.44,,
24.0,-13.09,,
24.5,-13.61,,
25.0,-14.56,,
25.5,-14.97,,
26.0,-15.76,,
26.5,-16.70,,
27.0,-17.65,,
27.5,-18.55,,
28.0,-18.64,,
28.5,-18.29,,
29.0,-18.44,,
29.5,-18.14,,
30.0,-17.63,,
30.5,-16.32,,
31.0,-14.69,,
31.5,-13.00,,
32.0,-12.11,,
32.5,-11.70,,
33.0,-11.59,,
33.5,-11.64,,
34.0,-11.78,,
34.5,-11.95,,
35.0,-12.12,,
35.5,-12.29,,
36.0,-13.15,,
36.5,-13.61,,
37.0,-13.82,,
37.5,-13.89,,
38.0,-13.87,,
38.5,-13.81,,
39.0,-13.02,,
39.5,-11.91,,
40.0,-10.70,,
40.5,-9.52,,
41.0,-8.44,,
41.5,-7.50,,
42.0,-7.40,,
42.5,-7.76,,
43.0,-8.34,,
43.5,-8.99,,
44.0,-9.64,,
44.5,-10.24,,
45.0,-10.77,,
45.5,-11.22,,
46.0,-10.90,,
46.5,-10.89,,
47.0,-10.34,,
47.5,-10.25,,
48.0,-9.70,,
48.5,-8.95,,
49.0,-8.15,,
49.5,-7.37,,
50.0,-7.37,,
50.5,-7.78,,
51.0,-8.39,,
51.5,-9.05,,
52.0,-9.71,,
52.5,-10.30,,
53.0,-10.82,,
53.5,-11.27,,
54.0,-11.65,,
54.5,-11.95,,
55.0,-12.21,,
55.5,-11.70,,
56.0,-10.83,,
56.5,-9.83,,
57.0,-8.83,,
57.5,-7.89,,
58.0,-7.07,,
58.5,-6.36,,
59.0,-6.46,,
59.5,-7.00,,
60.0,-7.73,,
60.5,-8.50,,
61.0,-9.26,,
61.5,-9.94,,
62.0,-10.53,,
62.5,-11.04,,
63.0,-11.46,,
63.5,-11.81,,
64.0,-12.09,,
64.5,-11.62,,
65.0,-10.77,,
65.5,-9.78,,
66.0,-8.79,,
66.5,-7.86,,
67.0,-7.75,,
67.5,-8.07,,
68.0,-8.61,,
68.5,-9.22,,
69.0,-9.83,,
69.5,-10.40,,
70.0,-11.60,,
70.5,-13.06,,
71.0,-13.85,,
71.5,-14.22,,
72.0,-14.35,,
72.5,-14.33,,
73.0,-14.23,,
73.5,-14.10,,
74.0,-13.97,,
74.5,-13.83,,
75.0,-13.01,,
75.5,-11.87,,
76.0,-11.36,,
76.5,-11.21,,
77.0,-11.27,,
77.5,-11.43,,
78.0,-11.65,,
78.5,-12.57,,
79.0,-13.11,,
79.5,-13.40,,
80.0,-13.54,,
80.5,-13.58,,
81.0,-13.58,,
81.5,-13.54,,
82.0,-13.50,,
82.5,-13.45,,
83.0,-13.40,,
83.5,-12.65,,
84.0,-12.29,,
84.5,-11.45,,
85.0,-11.12,,
85.5,-11.09,,
86.0,-11.22,,
86.5,-11.43,,
87.0,-11.67,,
87.5,-11.90,,
88.0,-12.82,,
88.5,-14.03,,
89.0,-14.63,,
89.5,-15.54,,
90.0,-15.86,,
90.5,-15.84,,
91.0,-15.63,,
91.5,-15.34,,
92.0,-15.03,,
92.5,-14.73,,
93.0,-14.45,,
93.5,-14.21,,
94.0,-14.01,,
94.5,-13.83,,
95.0,-13.69,,
95.5,-13.58,,
96.0,-14.19,,
96.5,-15.15,,
97.0,-16.22,,
97.5,-16.58,,
98.0,-17.22,,
98.5,-17.98,,
99.0,-18.04,,
99.5,-17.73,,
100.0,-17.23,,
100.5,-16.67,,
101.0,-16.11,,
101.5,-15.61,,
102.0,-15.16,,
102.5,-14.77,,
103.0,-14.45,,
103.5,-14.89,,
104.0,-15.70,,
104.5,-16.66,,
105.0,-17.62,,
105.5,-18.52,,
106.0,-19.32,,
106.5,-20.01,,
107.0,-20.60,,
107.5,-20.37,,
108.0,-19.74,,
108.5,-18.92,,
109.0,-18.07,,
109.5,-17.26,,
110.0,-16.54,,
110.5,-15.90,,
111.0,-15.36,,
111.5,-15.62,,
112.0,-15.58,,
112.5,-16.09,,
113.0,-16.85,,
113.5,-17.70,,
114.0,-18.54,,
114.5,-19.30,,
115.0,-19.97,,
115.5,-20.55,,
116.0,-21.03,,
116.5,-20.72,,
117.0,-20.72,,
117.5,-20.17,,
118.0,-19.38,,
118.5,-17.80,,
119.0,-16.62,,
119.5,-15.74,,
120.0,-15.08,,
120.5,-14.59,,
121.0,-14.93,,
121.5,-15.68,,
122.0,-16.61,,
122.5,-18.27,,
123.0,-19.49,,
123.5,-20.40,,
124.0,-21.07,,
124.5,-21.56,,
125.0,-21.23,,
125.5,-20.47,,
126.0,-20.24,,
126.5,-19.61,,
127.0,-18.81,,
127.5,-17.97,,
128.0,-17.18,,
128.5,-16.46,,
129.0,-16.55,,
129.5,-17.05,,
130.0,-17.74,,
130.5,-18.49,,
131.0,-19.21,,
