Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,42000.0 um
Duration,280 sec
Resolution,0.500 um/sample
Force,1.00 mg
Measurement Range,65.5 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 100.0 um Width: 0.0 um
M. Cursor,Pos: 1900.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Nanometer,
0.0,1.99,,
0.5,1.75,,
1.0,1.02,,
1.5,0.27,,
2.0,-0.62,,
2.5,-1.07,,
3.0,-1.62,,
3.5,-1.64,,
4.0,-1.91,,
4.5,-1.67,,
5.0,-1.36,,
5.5,-0.85,,
6.0,-0.89,,
6.5,-0.87,,
7.0,-1.18,,
7.5,-1.99,,
8.0,-2.84,,
8.5,-4.28,,
9.0,-5.47,,
9.5,-6.90,,
10.0,-7.55,,
10.5,-8.18,,
11.0,-8.40,,
11.5,-8.83,,
12.0,-8.81,,
12.5,-8.63,,
13.0,-8.21,,
13.5,-7.95,,
14.0,-7.44,,
14.5,-7.37,,
15.0,-7.18,,
15.5,-7.66,,
16.0,-8.19,,
16.5,-9.06,,
17.0,-10.24,,
17.5,-11.50,,
18.0,-12.71,,
18.5,-13.89,,
19.0,-14.80,,
19.5,-15.32,,
20.0,-16.12,,
20.5,-16.22,,
21.0,-16.56,,
21.5,-16.29,,
22.0,-16.52,,
22.5,-16.36,,
23.0,-16.65,,
23.5,-16.79,,
24.0,-17.28,,
24.5,-17.13,,
25.0,-17.99,,
25.5,-18.96,,
26.0,-20.19,,
26.5,-21.12,,
27.0,-22.18,,
27.5,-22.51,,
28.0,-22.70,,
28.5,-22.81,,
29.0,-22.41,,
29.5,-21.76,,
30.0,-20.86,,
30.5,-19.80,,
31.0,-18.45,,
31.5,-17.68,,
32.0,-17.09,,
32.5,-16.82,,
33.0,-16.64,,
33.5,-16.45,,
34.0,-16.53,,
34.5,-17.36,,
35.0,-18.19,,
35.5,-18.61,,
36.0,-19.03,,
36.5,-18.98,,
37.0,-19.13,,
37.5,-18.49,,
38.0,-18.18,,
38.5,-17.71,,
39.0,-17.46,,
39.5,-16.99,,
40.0,-16.52,,
40.5,-16.17,,
41.0,-16.36,,
41.5,-16.56,,
42.0,-17.29,,
42.5,-17.53,,
43.0,-18.12,,
43.5,-17.96,,
44.0,-18.65,,
44.5,-18.78,,
45.0,-19.13,,
45.5,-18.95,,
46.0,-18.41,,
46.5,-18.24,,
47.0,-17.58,,
47.5,-17.42,,
48.0,-16.72,,
48.5,-16.69,,
49.0,-16.30,,
49.5,-16.73,,
50.0,-16.76,,
50.5,-17.38,,
51.0,-17.91,,
51.5,-18.81,,
52.0,-19.74,,
52.5,-20.90,,
53.0,-21.83,,
53.5,-22.48,,
54.0,-23.19,,
54.5,-23.36,,
55.0,-22.96,,
55.5,-22.46,,
56.0,-21.85,,
56.5,-21.49,,
57.0,-21.39,,
57.5,-20.80,,
58.0,-20.62,,
58.5,-20.58,,
59.0,-21.16,,
59.5,-22.11,,
60.0,-23.55,,
60.5,-24.71,,
61.0,-25.99,,
61.5,-26.88,,
62.0,-27.59,,
62.5,-27.89,,
63.0,-28.21,,
63.5,-28.16,,
64.0,-27.84,,
64.5,-27.38,,
65.0,-26.62,,
65.5,-25.93,,
66.0,-25.24,,
66.5,-24.51,,
67.0,-23.98,,
67.5,-24.14,,
68.0,-24.57,,
68.5,-25.29,,
69.0,-26.02,,
69.5,-27.24,,
70.0,-28.46,,
70.5,-29.59,,
71.0,-30.77,,
71.5,-31.27,,
72.0,-31.90,,
72.5,-31.76,,
