Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,42000.0 um
Duration,280 sec
Resolution,0.500 um/sample
Force,1.00 mg
Measurement Range,65.5 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 100.0 um Width: 0.0 um
M. Cursor,Pos: 1900.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Nanometer,
0.0,3.10,,
0.5,2.98,,
1.0,2.80,,
1.5,2.61,,
2.0,2.41,,
2.5,2.06,,
3.0,1.46,,
3.5,0.69,,
4.0,-0.21,,
4.5,-1.02,,
5.0,-1.91,,
5.5,-3.04,,
6.0,-4.31,,
6.5,-5.39,,
7.0,-6.28,,
7.5,-6.83,,
8.0,-7.34,,
8.5,-7.88,,
9.0,-8.31,,
9.5,-8.65,,
10.0,-9.00,,
10.5,-9.16,,
11.0,-9.29,,
11.5,-9.31,,
12.0,-9.53,,
12.5,-9.94,,
13.0,-10.59,,
13.5,-11.25,,
14.0,-12.12,,
14.5,-12.86,,
15.0,-13.85,,
15.5,-14.71,,
16.0,-15.71,,
16.5,-16.27,,
17.0,-16.73,,
17.5,-17.19,,
18.0,-17.63,,
18.5,-18.28,,
19.0,-18.91,,
19.5,-19.49,,
20.0,-20.00,,
20.5,-20.52,,
21.0,-21.37,,
21.5,-22.33,,
22.0,-23.20,,
22.5,-23.95,,
23.0,-24.68,,
23.5,-25.43,,
24.0,-26.40,,
24.5,-27.69,,
25.0,-28.44,,
25.5,-28.67,,
26.0,-28.86,,
26.5,-28.85,,
27.0,-28.63,,
27.5,-28.51,,
28.0,-28.34,,
28.5,-28.18,,
29.0,-28.29,,
29.5,-28.27,,
30.0,-28.27,,
30.5,-28.37,,
31.0,-28.44,,
31.5,-28.47,,
32.0,-28.40,,
32.5,-28.19,,
33.0,-28.00,,
33.5,-27.67,,
34.0,-27.46,,
34.5,-26.97,,
35.0,-26.37,,
35.5,-25.75,,
36.0,-25.17,,
36.5,-24.91,,
37.0,-24.85,,
37.5,-24.81,,
38.0,-24.87,,
38.5,-24.98,,
39.0,-25.20,,
39.5,-25.64,,
40.0,-26.08,,
40.5,-26.48,,
41.0,-26.93,,
41.5,-27.19,,
42.0,-27.33,,
42.5,-27.31,,
43.0,-27.11,,
43.5,-26.84,,
44.0,-26.54,,
44.5,-26.34,,
45.0,-26.11,,
45.5,-25.98,,
46.0,-25.91,,
46.5,-26.06,,
47.0,-26.31,,
47.5,-26.59,,
48.0,-26.70,,
48.5,-26.98,,
49.0,-27.50,,
49.5,-28.20,,
50.0,-28.86,,
50.5,-29.28,,
51.0,-29.44,,
51.5,-29.73,,
52.0,-29.88,,
52.5,-30.03,,
53.0,-29.83,,
53.5,-29.53,,
54.0,-29.20,,
54.5,-29.15,,
55.0,-29.08,,
55.5,-29.17,,
56.0,-29.17,,
56.5,-29.20,,
57.0,-29.44,,
57.5,-29.76,,
58.0,-30.28,,
58.5,-30.61,,
59.0,-31.08,,
59.5,-31.41,,
60.0,-31.91,,
60.5,-32.11,,
61.0,-32.31,,
61.5,-32.50,,
62.0,-32.66,,
62.5,-32.90,,
63.0,-32.97,,
63.5,-32.87,,
64.0,-32.85,,
64.5,-32.79,,
65.0,-33.08,,
65.5,-33.16,,
66.0,-33.23,,
66.5,-33.28,,
67.0,-33.49,,
67.5,-33.78,,
68.0,-34.18,,
68.5,-34.52,,
69.0,-34.89,,
69.5,-35.25,,
70.0,-35.67,,
70.5,-36.18,,
71.0,-36.61,,
71.5,-37.06,,
72.0,-37.40,,
72.5,-37.74,,
73.0,-38.15,,
73.5,-38.56,,
74.0,-38.95,,
74.5,-39.48,,
75.0,-39.86,,
75.5,-40.14,,
76.0,-40.34,,
