Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,42000.0 um
Duration,280 sec
Resolution,0.500 um/sample
Force,1.00 mg
Measurement Range,65.5 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 100.0 um Width: 0.0 um
M. Cursor,Pos: 1900.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Nanometer,
0.0,2.89,,
0.5,2.52,,
1.0,2.09,,
1.5,1.57,,
2.0,1.05,,
2.5,0.56,,
3.0,-0.06,,
3.5,-0.43,,
4.0,-0.91,,
4.5,-1.24,,
5.0,-1.73,,
5.5,-2.27,,
6.0,-2.71,,
6.5,-3.07,,
7.0,-3.44,,
7.5,-4.07,,
8.0,-4.87,,
8.5,-5.80,,
9.0,-6.46,,
9.5,-7.20,,
10.0,-7.66,,
10.5,-8.39,,
11.0,-9.29,,
11.5,-10.14,,
12.0,-10.80,,
12.5,-11.50,,
13.0,-11.98,,
13.5,-12.59,,
14.0,-13.22,,
14.5,-13.81,,
15.0,-14.52,,
15.5,-14.98,,
16.0,-15.80,,
16.5,-16.49,,
17.0,-17.33,,
17.5,-18.01,,
18.0,-19.09,,
18.5,-19.59,,
19.0,-20.20,,
19.5,-20.46,,
20.0,-20.96,,
20.5,-21.55,,
21.0,-22.07,,
21.5,-22.59,,
22.0,-22.99,,
22.5,-23.47,,
23.0,-24.23,,
23.5,-25.45,,
24.0,-26.81,,
24.5,-27.90,,
25.0,-28.40,,
25.5,-28.81,,
26.0,-29.16,,
26.5,-29.44,,
27.0,-29.57,,
27.5,-29.53,,
28.0,-29.04,,
28.5,-28.70,,
29.0,-28.38,,
29.5,-28.18,,
30.0,-27.80,,
30.5,-27.24,,
31.0,-26.83,,
31.5,-26.59,,
32.0,-26.57,,
32.5,-26.57,,
33.0,-26.76,,
33.5,-26.77,,
34.0,-26.87,,
34.5,-27.09,,
35.0,-27.36,,
35.5,-27.82,,
36.0,-28.26,,
36.5,-28.47,,
37.0,-28.46,,
37.5,-28.25,,
38.0,-28.11,,
38.5,-28.03,,
39.0,-27.90,,
39.5,-27.65,,
40.0,-27.37,,
40.5,-27.26,,
41.0,-27.52,,
41.5,-27.79,,
42.0,-28.30,,
42.5,-28.73,,
43.0,-29.26,,
43.5,-29.64,,
44.0,-30.17,,
44.5,-30.74,,
45.0,-31.21,,
45.5,-31.49,,
46.0,-31.66,,
46.5,-31.76,,
47.0,-31.90,,
47.5,-31.96,,
48.0,-32.06,,
48.5,-32.27,,
49.0,-32.35,,
49.5,-32.43,,
50.0,-32.60,,
50.5,-32.81,,
51.0,-33.20,,
51.5,-33.57,,
52.0,-34.17,,
52.5,-34.50,,
53.0,-34.92,,
53.5,-35.18,,
54.0,-35.61,,
54.5,-35.83,,
55.0,-36.10,,
55.5,-36.19,,
56.0,-36.28,,
56.5,-36.27,,
57.0,-36.56,,
57.5,-36.73,,
58.0,-36.90,,
58.5,-37.07,,
59.0,-37.22,,
59.5,-37.80,,
60.0,-38.21,,
60.5,-38.68,,
61.0,-39.14,,
