Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,42000.0 um
Duration,140 sec
Resolution,1.000 um/sample
Force,1.00 mg
Measurement Range,524 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 9817.6 um Width: 0.0 um
M. Cursor,Pos: 991.8 um Width: 0.0 um

Scan Data
Lateral um,Raw Nanometer,
0.0,157.66,,
1.0,158.28,,
2.0,158.99,,
3.0,159.69,,
4.0,160.35,,
5.0,160.92,,
6.0,161.42,,
7.0,161.13,,
8.0,160.44,,
9.0,159.58,,
10.0,158.70,,
11.0,157.87,,
12.0,157.12,,
13.0,156.46,,
14.0,155.91,,
15.0,155.45,,
16.0,155.08,,
17.0,154.06,,
18.0,153.49,,
19.0,152.49,,
20.0,151.32,,
21.0,150.86,,
22.0,150.81,,
23.0,150.98,,
24.0,150.56,,
25.0,149.84,,
26.0,148.31,,
27.0,147.17,,
28.0,147.01,,
29.0,146.69,,
30.0,147.01,,
31.0,146.94,,
32.0,146.68,,
33.0,146.32,,
34.0,146.64,,
35.0,147.31,,
36.0,148.11,,
37.0,148.22,,
38.0,149.36,,
39.0,150.27,,
40.0,150.28,,
41.0,150.51,,
42.0,150.85,,
43.0,150.51,,
44.0,150.54,,
45.0,150.77,,
46.0,151.08,,
47.0,150.71,,
48.0,150.00,,
49.0,149.16,,
50.0,149.02,,
51.0,148.55,,
52.0,148.65,,
53.0,148.33,,
54.0,148.53,,
55.0,148.98,,
56.0,149.54,,
57.0,149.40,,
58.0,149.62,,
59.0,150.00,,
60.0,150.44,,
61.0,150.89,,
62.0,150.60,,
63.0,149.93,,
64.0,149.12,,
65.0,148.98,,
66.0,148.51,,
67.0,147.90,,
68.0,147.25,,
69.0,146.64,,
70.0,146.08,,
71.0,146.29,,
72.0,146.21,,
73.0,146.66,,
74.0,147.38,,
75.0,147.48,,
76.0,147.95,,
77.0,147.88,,
78.0,147.52,,
79.0,147.03,,
80.0,146.51,,
81.0,146.00,,
82.0,145.54,,
83.0,145.14,,
84.0,144.80,,
85.0,144.52,,
86.0,144.28,,
87.0,144.09,,
88.0,143.93,,
89.0,144.51,,
90.0,144.73,,
91.0,145.45,,
92.0,145.69,,
93.0,145.65,,
94.0,145.45,,
95.0,145.20,,
96.0,144.92,,
97.0,144.66,,
98.0,144.42,,
99.0,144.21,,
100.0,143.32,,
101.0,142.14,,
102.0,141.59,,
103.0,140.70,,
104.0,140.41,,
105.0,139.76,,
106.0,139.65,,
107.0,139.85,,
108.0,140.20,,
109.0,139.90,,
110.0,139.98,,
111.0,139.54,,
112.0,139.57,,
113.0,139.14,,
114.0,138.50,,
115.0,138.49,,
116.0,138.11,,
117.0,137.57,,
118.0,136.98,,
119.0,137.10,,
120.0,136.90,,
121.0,137.23,,
122.0,137.84,,
123.0,137.83,,
124.0,137.51,,
125.0,137.03,,
126.0,137.21,,
127.0,137.02,,
128.0,137.36,,
129.0,137.25,,
130.0,136.90,,
131.0,136.45,,
132.0,135.98,,
133.0,135.53,,
134.0,134.42,,
135.0,133.74,,
136.0,133.34,,
137.0,133.12,,
138.0,133.00,,
139.0,132.96,,
140.0,132.95,,
141.0,132.96,,
142.0,132.28,,
143.0,131.98,,
144.0,131.90,,
145.0,131.95,,
146.0,132.06,,
147.0,132.20,,
148.0,132.34,,
149.0,131.77,,
150.0,131.56,,
151.0,130.86,,
152.0,130.64,,
153.0,130.00,,
154.0,129.18,,
155.0,128.31,,
156.0,127.49,,
157.0,127.44,,
158.0,127.83,,
159.0,128.41,,
160.0,128.35,,
161.0,128.66,,
162.0,128.43,,
163.0,127.94,,
164.0,127.34,,
165.0,126.72,,
166.0,126.13,,
167.0,125.61,,
168.0,125.16,,
169.0,124.77,,
170.0,124.45,,
171.0,124.19,,
172.0,123.98,,
173.0,123.80,,
174.0,123.67,,
175.0,123.55,,
176.0,123.47,,
177.0,123.39,,
178.0,123.34,,
179.0,123.29,,
180.0,123.26,,
181.0,123.23,,
182.0,123.20,,
183.0,123.18,,
184.0,123.16,,
185.0,123.15,,
186.0,123.14,,
187.0,123.13,,
188.0,123.12,,
189.0,122.40,,
190.0,122.07,,
191.0,121.25,,
192.0,120.95,,
193.0,120.93,,
194.0,121.07,,
195.0,121.29,,
196.0,121.53,,
197.0,121.76,,
198.0,121.28,,
199.0,121.14,,
200.0,120.49,,
201.0,119.62,,
202.0,118.69,,
203.0,118.50,,
204.0,118.01,,
205.0,117.40,,
206.0,117.47,,
207.0,117.20,,
208.0,117.47,,
209.0,117.30,,
210.0,116.91,,
211.0,116.42,,
212.0,115.93,,
213.0,115.46,,
214.0,115.04,,
215.0,116.78,,
216.0,127.30,,
217.0,133.33,,
218.0,135.11,,
219.0,134.48,,
220.0,132.61,,
221.0,130.20,,
222.0,127.68,,
223.0,125.98,,
224.0,124.14,,
225.0,122.36,,
226.0,120.73,,
227.0,119.31,,
228.0,118.09,,
229.0,117.07,,
230.0,116.23,,
231.0,115.55,,
232.0,115.00,,
233.0,114.56,,
234.0,114.21,,
235.0,113.22,,
236.0,112.68,,
237.0,111.70,,
238.0,111.26,,
239.0,111.15,,
240.0,111.21,,
241.0,111.37,,
242.0,111.56,,
243.0,111.76,,
244.0,111.95,,
245.0,112.12,,
246.0,112.27,,
247.0,112.39,,
248.0,111.78,,
249.0,111.54,,
250.0,110.79,,
251.0,110.54,,
252.0,109.87,,
253.0,109.72,,
254.0,109.16,,
255.0,109.12,,
256.0,108.66,,
257.0,108.01,,
258.0,108.00,,
259.0,108.34,,
260.0,108.85,,
261.0,108.69,,
262.0,108.90,,
263.0,145.18,,
264.0,282.64,,
264.9,551.74,,
265.8,961.52,,
266.7,1506.72,,
267.6,2178.34,,
268.4,2948.42,,
269.2,3801.23,,
270.0,4707.64,,
270.8,5643.27,,
271.6,6599.97,,
272.4,7573.98,,
273.2,8562.75,,
273.9,9560.33,,
274.7,10565.01,,
275.5,11581.00,,
276.3,12609.04,,
277.1,13648.65,,
277.8,14695.95,,
278.6,15741.26,,
279.4,16778.83,,
280.1,17806.84,,
280.9,18822.87,,
281.7,19827.91,,
282.5,20826.09,,
283.3,21821.51,,
284.1,22816.58,,
284.8,23808.39,,
285.6,24749.18,,
286.4,25638.09,,
287.3,26485.42,,
288.1,27298.28,,
288.9,28080.12,,
289.7,28835.03,,
290.6,29553.05,,
291.4,30238.51,,
292.3,30893.28,,
293.2,31493.80,,
294.1,32024.30,,
295.0,32483.44,,
295.9,32889.01,,
296.8,33241.69,,
297.7,33522.45,,
298.7,33728.33,,
299.7,33879.30,,
300.6,33985.07,,
301.6,34056.93,,
302.6,34104.73,,
303.6,34134.81,,
304.6,34151.82,,
305.6,34159.89,,
306.6,34161.90,,
307.6,34159.80,,
308.6,34154.94,,
309.6,34147.55,,
310.6,34138.63,,
311.6,34128.81,,
312.6,34119.23,,
313.6,34109.75,,
314.6,34100.30,,
315.6,34090.84,,
316.6,34082.05,,
317.6,34074.26,,
318.6,34066.85,,
319.6,34060.17,,
320.6,34054.37,,
321.6,34049.45,,
322.6,34044.66,,
323.6,34039.57,,
324.6,34035.39,,
325.6,34031.29,,
326.6,34026.83,,
327.6,34022.49,,
328.6,34018.53,,
329.6,34015.05,,
330.6,34011.38,,
331.6,34007.87,,
332.6,34004.69,,
333.6,34001.92,,
334.6,33999.57,,
335.6,33996.20,,
336.6,33992.53,,
337.6,33989.66,,
338.6,33986.73,,
339.6,33983.96,,
340.6,33980.79,,
341.6,33977.62,,
342.6,33974.68,,
343.6,33972.07,,
344.6,33969.13,,
345.6,33966.21,,
346.6,33962.82,,
347.6,33958.70,,
348.6,33954.50,,
349.6,33951.25,,
350.6,33948.05,,
351.6,33945.09,,
352.6,33941.78,,
353.6,33939.22,,
354.6,33936.53,,
355.6,33933.98,,
356.6,33931.68,,
357.6,33929.67,,
358.6,33927.27,,
359.6,33924.12,,
360.6,33920.80,,
361.6,33917.62,,
362.6,33914.74,,
363.6,33912.23,,
364.6,33910.10,,
365.6,33908.33,,
366.6,33906.17,,
367.6,33903.95,,
368.6,33901.87,,
369.6,33900.00,,
370.6,33898.38,,
371.6,33896.32,,
372.6,33894.15,,
373.6,33892.09,,
374.6,33890.23,,
375.6,33888.61,,
376.6,33886.54,,
377.6,33885.07,,
378.6,33884.03,,
379.7,33883.29,,
380.7,33882.77,,
381.7,33882.40,,
382.7,33882.14,,
383.7,33881.26,,
384.7,33880.80,,
385.7,33881.31,,
386.7,33883.00,,
387.6,33885.91,,
388.6,33889.97,,
389.6,33894.35,,
390.6,33897.89,,
391.6,33900.02,,
392.6,33901.24,,
393.6,33901.18,,
394.6,33900.43,,
395.6,33899.38,,
396.6,33897.52,,
397.6,33896.08,,
398.6,33894.26,,
399.6,33893.06,,
400.6,33892.29,,
401.6,33891.10,,
402.6,33889.76,,
403.6,33888.44,,
404.6,33887.23,,
405.6,33886.16,,
406.6,33885.25,,
407.6,33883.77,,
408.7,33882.11,,
409.7,33880.46,,
410.7,33878.93,,
411.7,33877.58,,
412.7,33875.72,,
413.7,33873.72,,
414.7,33871.78,,
415.7,33870.02,,
416.7,33868.48,,
417.7,33866.46,,
418.7,33864.33,,
419.7,33862.29,,
420.7,33860.45,,
421.7,33858.14,,
422.7,33855.74,,
423.7,33853.47,,
424.7,33851.43,,
425.7,33849.66,,
426.7,33848.16,,
427.7,33846.21,,
428.7,33844.86,,
429.7,33843.22,,
430.7,33841.55,,
431.7,33839.98,,
432.7,33838.57,,
433.7,33836.65,,
434.7,33834.59,,
435.7,33833.31,,
436.7,33832.54,,
437.7,33831.39,,
438.7,33829.41,,
439.7,33827.84,,
440.7,33826.60,,
441.7,33825.62,,
442.7,33824.85,,
443.7,33824.25,,
444.7,33823.79,,
445.7,33823.43,,
446.7,33823.14,,
447.7,33822.93,,
448.7,33822.05,,
449.7,33821.60,,
450.7,33821.39,,
451.7,33821.34,,
452.7,33820.67,,
453.7,33819.71,,
454.7,33819.38,,
455.7,33819.40,,
456.7,33818.90,,
457.7,33818.16,,
458.7,33817.35,,
459.7,33816.55,,
460.7,33815.82,,
461.7,33815.88,,
462.7,33815.65,,
463.7,33815.29,,
464.7,33815.59,,
465.7,33816.21,,
466.7,33816.97,,
467.7,33817.04,,
468.7,33817.43,,
469.7,33817.98,,
470.7,33817.86,,
471.7,33817.39,,
472.7,33816.77,,
473.7,33816.12,,
474.7,33815.48,,
475.7,33814.91,,
476.7,33813.70,,
477.7,33812.25,,
478.7,33810.76,,
479.7,33810.06,,
480.7,33809.84,,
481.7,33809.89,,
482.7,33810.08,,
483.7,33810.33,,
484.7,33810.60,,
485.7,33810.85,,
486.7,33811.08,,
487.7,33811.28,,
488.7,33810.74,,
489.7,33810.55,,
490.7,33810.56,,
491.7,33810.68,,
492.7,33810.85,,
493.7,33811.02,,
494.7,33811.20,,
495.7,33811.35,,
496.7,33811.49,,
497.7,33812.31,,
498.7,33812.73,,
499.7,33812.91,,
500.7,33812.24,,
501.7,33811.16,,
502.7,33809.94,,
503.7,33808.03,,
504.7,33806.59,,
505.7,33804.80,,
506.7,33803.65,,
507.7,33802.23,,
508.7,33801.46,,
509.7,33801.81,,
510.7,33804.13,,
511.7,33808.05,,
512.7,33811.13,,
513.7,33812.85,,
514.7,33814.41,,
515.7,33815.07,,
516.7,33815.20,,
517.7,33815.04,,
518.7,33814.73,,
519.7,33814.36,,
520.7,33813.29,,
521.7,33811.91,,
522.7,33811.17,,
523.7,33810.12,,
524.7,33808.98,,
525.7,33807.88,,
526.7,33806.87,,
527.7,33805.98,,
528.7,33805.23,,
529.7,33805.30,,
530.7,33805.10,,
531.7,33804.78,,
532.7,33804.41,,
533.7,33804.04,,
534.7,33804.40,,
535.7,33805.12,,
536.7,33805.29,,
537.7,33805.85,,
538.7,33805.87,,
539.7,33805.60,,
540.7,33805.20,,
541.7,33804.75,,
542.7,33804.31,,
543.7,33803.91,,
544.7,33803.55,,
545.7,33803.25,,
546.7,33803.69,,
547.7,33803.80,,
548.7,33803.73,,
549.7,33804.27,,
550.7,33804.38,,
551.7,33804.27,,
552.7,33804.04,,
553.7,33804.46,,
554.7,33804.51,,
555.7,33804.34,,
556.7,33804.78,,
557.7,33805.51,,
558.7,33806.35,,
559.7,33807.18,,
560.7,33807.94,,
561.7,33808.62,,
562.7,33809.20,,
563.7,33809.69,,
564.7,33810.09,,
565.7,33810.41,,
566.7,33810.68,,
567.7,33810.89,,
568.7,33810.35,,
569.7,33809.44,,
570.7,33809.11,,
571.7,33808.41,,
572.7,33807.56,,
573.7,33806.69,,
574.7,33805.87,,
575.7,33805.13,,
576.7,33804.50,,
577.7,33803.96,,
578.7,33803.51,,
579.7,33803.14,,
580.7,33802.84,,
581.7,33802.60,,
582.7,33802.41,,
583.7,33802.25,,
584.7,33802.13,,
585.7,33802.03,,
586.7,33801.96,,
587.7,33801.90,,
588.7,33801.85,,
589.7,33801.81,,
590.7,33802.48,,
591.7,33803.48,,
592.7,33804.59,,
593.7,33805.68,,
594.7,33807.38,,
595.7,33808.59,,
596.7,33809.43,,
597.7,33810.74,,
598.7,33811.48,,
599.7,33812.58,,
600.7,33813.79,,
601.7,33814.97,,
602.7,33815.35,,
603.7,33815.97,,
604.7,33816.68,,
605.7,33817.39,,
606.7,33818.03,,
607.7,33818.61,,
608.7,33819.80,,
609.7,33821.25,,
610.7,33822.72,,
611.7,33824.10,,
612.7,33824.63,,
613.7,33825.37,,
614.7,33826.16,,
615.7,33826.93,,
616.7,33828.34,,
617.7,33829.28,,
618.7,33829.90,,
619.7,33830.30,,
620.7,33830.57,,
621.7,33830.73,,
