Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,42000.0 um
Duration,140 sec
Resolution,1.000 um/sample
Force,1.00 mg
Measurement Range,65.5 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 9817.6 um Width: 0.0 um
M. Cursor,Pos: 991.8 um Width: 0.0 um

Scan Data
Lateral um,Raw Nanometer,
0.0,0.95,,
1.0,1.80,,
2.0,2.63,,
3.0,3.57,,
4.0,3.78,,
5.0,4.04,,
6.0,3.95,,
7.0,3.49,,
8.0,3.68,,
9.0,3.13,,
10.0,2.93,,
11.0,2.32,,
12.0,1.88,,
13.0,0.77,,
14.0,-0.09,,
15.0,-1.21,,
16.0,-1.92,,
17.0,-2.65,,
18.0,-3.24,,
19.0,-3.97,,
20.0,-4.65,,
21.0,-5.34,,
22.0,-5.89,,
23.0,-6.24,,
24.0,-6.90,,
25.0,-7.69,,
26.0,-9.01,,
27.0,-8.31,,
28.0,-7.81,,
29.0,-6.75,,
30.0,-6.44,,
31.0,-5.76,,
32.0,-5.90,,
33.0,-5.76,,
34.0,-6.20,,
35.0,-6.64,,
36.0,-7.06,,
37.0,-7.61,,
38.0,-8.02,,
39.0,-8.14,,
40.0,-7.29,,
41.0,-6.44,,
42.0,-5.02,,
43.0,-4.37,,
44.0,-4.01,,
45.0,-3.65,,
46.0,-2.96,,
47.0,-2.50,,
48.0,-2.37,,
49.0,-2.70,,
50.0,-3.43,,
51.0,-4.31,,
52.0,-5.40,,
53.0,-6.17,,
54.0,-6.70,,
55.0,-6.98,,
56.0,-7.02,,
57.0,-6.84,,
58.0,-6.55,,
59.0,-6.13,,
60.0,-5.42,,
61.0,-4.76,,
62.0,-4.19,,
63.0,-3.97,,
64.0,-3.96,,
65.0,-4.06,,
66.0,-4.65,,
67.0,-5.29,,
68.0,-6.53,,
69.0,-7.48,,
70.0,-8.46,,
71.0,-9.39,,
72.0,-9.78,,
73.0,-10.30,,
74.0,-10.32,,
75.0,-10.51,,
76.0,-10.25,,
77.0,-10.30,,
78.0,-9.97,,
79.0,-9.65,,
80.0,-9.53,,
81.0,-9.35,,
82.0,-9.59,,
83.0,-9.78,,
84.0,-10.01,,
85.0,-10.34,,
86.0,-10.79,,
87.0,-11.27,,
88.0,-12.09,,
89.0,-12.67,,
90.0,-13.18,,
91.0,-13.69,,
92.0,-13.82,,
93.0,-13.82,,
94.0,-13.67,,
95.0,-13.70,,
96.0,-13.93,,
97.0,-14.60,,
98.0,-15.37,,
99.0,-15.87,,
100.0,-16.19,,
101.0,-16.22,,
102.0,-16.35,,
103.0,-16.43,,
104.0,-16.85,,
105.0,-17.23,,
106.0,-18.10,,
107.0,-19.09,,
108.0,-19.88,,
109.0,-19.99,,
110.0,-19.44,,
111.0,-18.32,,
112.0,-17.60,,
113.0,-17.32,,
114.0,-17.12,,
115.0,-17.33,,
116.0,-17.57,,
117.0,-18.52,,
118.0,-19.78,,
119.0,-21.39,,
120.0,-22.62,,
121.0,-24.19,,
122.0,-25.28,,
