Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,42000.0 um
Duration,280 sec
Resolution,0.500 um/sample
Force,1.00 mg
Measurement Range,524 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 100.0 um Width: 0.0 um
M. Cursor,Pos: 1900.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Nanometer,
0.0,2.58,,
0.5,2.39,,
1.0,1.56,,
1.5,1.15,,
2.0,0.29,,
2.5,-1.45,,
3.0,-3.54,,
3.5,-5.67,,
4.0,-6.96,,
4.5,-7.01,,
5.0,-6.38,,
5.5,-5.44,,
6.0,-4.40,,
6.5,-2.68,,
7.0,-0.71,,
7.5,0.54,,
8.0,1.32,,
8.5,1.79,,
9.0,1.36,,
9.5,-0.23,,
10.0,-2.33,,
10.5,-5.25,,
11.0,-8.40,,
11.5,-11.46,,
12.0,-13.53,,
12.5,-14.94,,
13.0,-15.18,,
13.5,-14.77,,
14.0,-14.05,,
14.5,-12.52,,
15.0,-11.35,,
15.5,-10.47,,
16.0,-9.10,,
16.5,-8.97,,
17.0,-8.82,,
17.5,-8.66,,
18.0,-9.92,,
18.5,-11.85,,
19.0,-14.00,,
19.5,-16.81,,
20.0,-19.08,,
20.5,-20.89,,
21.0,-22.33,,
21.5,-22.76,,
22.0,-23.33,,
22.5,-23.22,,
23.0,-22.05,,
23.5,-20.40,,
24.0,-18.61,,
24.5,-16.88,,
25.0,-15.99,,
25.5,-15.64,,
26.0,-15.58,,
26.5,-16.40,,
27.0,-17.63,,
27.5,-18.99,,
28.0,-21.02,,
28.5,-23.28,,
29.0,-25.48,,
29.5,-27.51,,
30.0,-28.59,,
30.5,-29.08,,
31.0,-29.22,,
31.5,-28.47,,
32.0,-27.28,,
32.5,-25.25,,
33.0,-23.61,,
33.5,-22.29,,
34.0,-21.25,,
34.5,-20.43,,
35.0,-19.79,,
35.5,-19.28,,
36.0,-19.60,,
36.5,-20.32,,
37.0,-21.92,,
37.5,-23.17,,
38.0,-24.15,,
38.5,-24.90,,
39.0,-25.49,,
39.5,-25.94,,
40.0,-25.58,,
40.5,-24.11,,
41.0,-22.15,,
41.5,-20.07,,
42.0,-17.37,,
42.5,-14.53,,
43.0,-12.52,,
43.5,-11.10,,
44.0,-10.81,,
44.5,-11.14,,
45.0,-11.77,,
45.5,-12.53,,
46.0,-13.30,,
46.5,-14.72,,
47.0,-15.69,,
47.5,-15.64,,
48.0,-15.76,,
48.5,-15.24,,
