Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,42000.0 um
Duration,280 sec
Resolution,0.500 um/sample
Force,1.00 mg
Measurement Range,65.5 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 9817.6 um Width: 0.0 um
M. Cursor,Pos: 991.8 um Width: 0.0 um

Scan Data
Lateral um,Raw Nanometer,
0.0,2.31,,
0.5,1.78,,
1.0,1.60,,
1.5,1.53,,
2.0,1.71,,
2.5,2.00,,
3.0,2.07,,
3.5,1.92,,
4.0,1.49,,
4.5,0.94,,
5.0,0.19,,
5.5,-0.44,,
6.0,-1.41,,
6.5,-2.57,,
7.0,-3.41,,
7.5,-4.09,,
8.0,-4.91,,
8.5,-5.48,,
9.0,-6.14,,
9.5,-6.62,,
10.0,-6.89,,
10.5,-7.02,,
11.0,-6.97,,
11.5,-7.11,,
12.0,-7.33,,
12.5,-7.85,,
13.0,-8.49,,
13.5,-9.24,,
14.0,-10.00,,
14.5,-10.88,,
15.0,-11.95,,
15.5,-13.12,,
16.0,-14.36,,
16.5,-15.37,,
17.0,-16.18,,
17.5,-16.64,,
18.0,-16.90,,
18.5,-17.01,,
19.0,-16.96,,
19.5,-16.91,,
20.0,-16.86,,
20.5,-17.09,,
21.0,-17.18,,
21.5,-17.99,,
22.0,-18.69,,
22.5,-19.81,,
23.0,-20.80,,
23.5,-22.02,,
24.0,-23.18,,
24.5,-24.40,,
25.0,-25.93,,
25.5,-26.61,,
26.0,-26.89,,
26.5,-26.49,,
27.0,-26.19,,
27.5,-25.25,,
28.0,-24.67,,
28.5,-22.09,,
29.0,-20.23,,
29.5,-19.42,,
30.0,-19.05,,
30.5,-19.22,,
31.0,-19.66,,
31.5,-20.39,,
32.0,-21.23,,
32.5,-21.97,,
33.0,-22.61,,
33.5,-23.15,,
34.0,-23.33,,
34.5,-23.40,,
35.0,-23.12,,
35.5,-22.60,,
36.0,-21.72,,
36.5,-20.79,,
37.0,-19.91,,
37.5,-19.29,,
38.0,-18.95,,
38.5,-18.78,,
39.0,-18.98,,
39.5,-19.28,,
40.0,-19.87,,
40.5,-20.58,,
41.0,-21.57,,
41.5,-22.20,,
42.0,-22.85,,
42.5,-23.20,,
43.0,-23.63,,
43.5,-23.80,,
44.0,-23.74,,
44.5,-23.73,,
45.0,-23.31,,
45.5,-23.14,,
46.0,-22.68,,
