Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,42000.0 um
Duration,280 sec
Resolution,0.500 um/sample
Force,1.00 mg
Measurement Range,524 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 100.0 um Width: 0.0 um
M. Cursor,Pos: 1900.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Nanometer,
0.0,4.36,,
0.5,3.08,,
1.0,1.83,,
1.5,0.69,,
2.0,-0.31,,
2.5,-1.17,,
3.0,-1.88,,
3.5,-2.47,,
4.0,-2.95,,
4.5,-3.34,,
5.0,-3.65,,
5.5,-4.59,,
6.0,-5.82,,
6.5,-7.10,,
7.0,-8.32,,
7.5,-9.43,,
8.0,-10.39,,
8.5,-11.20,,
9.0,-11.88,,
9.5,-12.44,,
10.0,-12.89,,
10.5,-13.25,,
11.0,-13.54,,
11.5,-14.47,,
12.0,-15.68,,
12.5,-16.96,,
13.0,-17.47,,
13.5,-18.24,,
14.0,-19.09,,
14.5,-19.93,,
15.0,-20.70,,
15.5,-21.37,,
16.0,-22.66,,
16.5,-24.17,,
17.0,-25.70,,
17.5,-27.13,,
18.0,-28.41,,
18.5,-29.51,,
19.0,-30.43,,
19.5,-31.20,,
20.0,-31.82,,
20.5,-32.33,,
21.0,-32.74,,
21.5,-33.06,,
22.0,-34.02,,
22.5,-35.25,,
23.0,-36.54,,
23.5,-37.77,,
24.0,-38.87,,
24.5,-39.83,,
25.0,-40.65,,
25.5,-42.03,,
26.0,-43.62,,
26.5,-44.50,,
27.0,-45.64,,
27.5,-46.84,,
28.0,-47.28,,
28.5,-47.99,,
29.0,-48.79,,
29.5,-49.58,,
30.0,-50.30,,
30.5,-50.24,,
31.0,-49.77,,
31.5,-49.10,,
32.0,-48.38,,
32.5,-47.68,,
33.0,-47.74,,
33.5,-48.22,,
34.0,-48.87,,
34.5,-49.58,,
35.0,-50.26,,
35.5,-50.89,,
36.0,-51.43,,
36.5,-51.90,,
37.0,-52.29,,
