Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,42000.0 um
Duration,280 sec
Resolution,0.500 um/sample
Force,1.00 mg
Measurement Range,524 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 100.0 um Width: 0.0 um
M. Cursor,Pos: 1900.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Nanometer,
0.0,3.88,,
0.5,2.63,,
1.0,0.97,,
1.5,-0.79,,
2.0,-2.48,,
2.5,-3.30,,
3.0,-3.61,,
3.5,-1.50,,
4.0,0.34,,
4.5,0.51,,
5.0,-0.24,,
5.5,-1.43,,
6.0,-2.77,,
6.5,-4.09,,
7.0,-5.30,,
7.5,-6.38,,
8.0,-8.00,,
8.5,-9.80,,
9.0,-11.57,,
9.5,-13.20,,
10.0,-14.63,,
10.5,-15.85,,
11.0,-16.88,,
11.5,-18.43,,
12.0,-19.44,,
12.5,-19.39,,
13.0,-18.78,,
13.5,-17.91,,
14.0,-17.66,,
14.5,-18.47,,
15.0,-18.38,,
15.5,-18.52,,
16.0,-19.48,,
16.5,-20.81,,
17.0,-22.23,,
17.5,-23.62,,
18.0,-24.87,,
18.5,-26.68,,
19.0,-27.94,,
19.5,-29.53,,
20.0,-32.58,,
20.5,-35.50,,
21.0,-38.14,,
21.5,-41.14,,
22.0,-43.42,,
22.5,-45.14,,
23.0,-45.04,,
23.5,-44.67,,
24.0,-44.18,,
24.5,-43.66,,
25.0,-43.17,,
25.5,-42.72,,
26.0,-42.34,,
26.5,-42.71,,
27.0,-43.46,,
27.5,-44.37,,
28.0,-45.29,,
28.5,-46.16,,
29.0,-46.93,,
29.5,-46.89,,
30.0,-46.42,,
30.5,-45.75,,
31.0,-45.03,,
31.5,-44.33,,
32.0,-43.69,,
32.5,-43.12,,
33.0,-41.94,,
33.5,-41.91,,
34.0,-41.11,,
34.5,-40.64,,
35.0,-41.09,,
35.5,-41.30,,
36.0,-41.37,,
36.5,-41.35,,
37.0,-41.99,,
37.5,-42.24,,
38.0,-42.96,,
38.5,-43.18,,
39.0,-43.12,,
39.5,-42.90,,
40.0,-42.63,,
40.5,-42.34,,
41.0,-42.06,,
41.5,-41.81,,
42.0,-42.29,,
42.5,-43.14,,
43.0,-43.41,,
43.5,-44.06,,
44.0,-44.17,,
44.5,-43.97,,
45.0,-44.33,,
45.5,-44.25,,
46.0,-44.66,,
46.5,-45.29,,
47.0,-46.00,,
47.5,-46.70,,
48.0,-47.34,,
48.5,-47.91,,
49.0,-47.70,,
49.5,-47.78,,
50.0,-48.01,,
50.5,-48.31,,
51.0,-47.92,,
51.5,-47.19,,
52.0,-47.03,,
52.5,-47.19,,
53.0,-47.51,,
53.5,-47.90,,
54.0,-48.28,,
54.5,-49.35,,
55.0,-50.00,,
55.5,-51.09,,
56.0,-51.62,,
56.5,-51.83,,
57.0,-51.84,,
57.5,-51.74,,
58.0,-51.60,,
58.5,-51.44,,
59.0,-51.29,,
59.5,-51.14,,
60.0,-51.02,,
60.5,-50.91,,
61.0,-51.52,,
61.5,-52.48,,
62.0,-53.55,,
62.5,-54.60,,
63.0,-55.58,,
63.5,-56.43,,
64.0,-57.17,,
64.5,-57.78,,
65.0,-58.29,,
65.5,-58.71,,
66.0,-59.04,,
66.5,-58.60,,
67.0,-58.49,,
67.5,-58.56,,
68.0,-59.42,,
68.5,-59.94,,
69.0,-60.24,,
69.5,-60.41,,
70.0,-60.49,,
70.5,-60.51,,
71.0,-61.21,,
71.5,-62.23,,
72.0,-63.33,,
72.5,-64.41,,
73.0,-64.69,,
73.5,-65.23,,
74.0,-65.16,,
74.5,-65.48,,
75.0,-65.98,,
75.5,-66.54,,
76.0,-66.39,,
76.5,-66.58,,
77.0,-66.93,,
77.5,-66.64,,
78.0,-66.73,,
78.5,-66.32,,
79.0,-65.66,,
79.5,-65.63,,
80.0,-65.93,,
80.5,-66.39,,
81.0,-66.90,,
81.5,-67.40,,
82.0,-67.86,,
82.5,-68.27,,
83.0,-68.62,,
83.5,-68.91,,
84.0,-69.15,,
84.5,-70.05,,
85.0,-70.54,,
85.5,-70.76,,
86.0,-71.54,,
86.5,-72.56,,
87.0,-72.92,,
87.5,-73.62,,
88.0,-73.74,,
88.5,-74.25,,
89.0,-74.92,,
89.5,-75.64,,
90.0,-76.34,,
90.5,-76.96,,
91.0,-77.51,,
91.5,-77.27,,
92.0,-76.63,,
92.5,-76.52,,
93.0,-76.70,,
93.5,-77.03,,
94.0,-76.71,,
94.5,-76.76,,
95.0,-77.02,,
95.5,-78.06,,
96.0,-78.76,,
96.5,-79.21,,
97.0,-80.21,,
97.5,-81.42,,
98.0,-82.67,,
98.5,-83.84,,
99.0,-84.19,,
99.5,-84.77,,
100.0,-84.03,,
100.5,-82.64,,
101.0,-80.28,,
101.5,-78.99,,
102.0,-77.66,,
102.5,-76.41,,
103.0,-75.99,,
103.5,-76.04,,
104.0,-76.34,,
104.5,-76.76,,
105.0,-77.21,,
105.5,-78.35,,
106.0,-79.78,,
106.5,-81.25,,
107.0,-82.65,,
107.5,-83.91,,
108.0,-85.00,,
108.5,-85.92,,
109.0,-86.69,,
109.5,-87.32,,
110.0,-87.12,,
110.5,-87.20,,
111.0,-87.43,,
111.5,-87.71,,
112.0,-88.01,,
112.5,-88.29,,
113.0,-88.54,,
113.5,-89.47,,
114.0,-90.68,,
114.5,-92.67,,
115.0,-94.23,,
115.5,-95.45,,
116.0,-97.10,,
116.5,-98.86,,
117.0,-99.85,,
117.5,-100.36,,
118.0,-99.17,,
118.5,-98.56,,
119.0,-98.30,,
119.5,-97.54,,
120.0,-97.28,,
120.5,-96.60,,
121.0,-96.44,,
121.5,-96.58,,
122.0,-96.87,,
122.5,-97.92,,
123.0,-98.59,,
123.5,-99.73,,
124.0,-101.03,,
124.5,-102.32,,
125.0,-103.52,,
125.5,-104.58,,
126.0,-105.49,,
126.5,-106.25,,
127.0,-106.18,,
127.5,-105.67,,
128.0,-104.95,,
128.5,-104.18,,
129.0,-103.43,,
129.5,-102.75,,
130.0,-102.16,,
130.5,-101.65,,
131.0,-101.93,,
131.5,-102.61,,
132.0,-103.46,,
132.5,-103.64,,
133.0,-104.14,,
133.5,-104.08,,
134.0,-104.42,,
134.5,-104.96,,
135.0,-105.57,,
135.5,-106.16,,
136.0,-107.41,,
136.5,-108.22,,
137.0,-108.74,,
137.5,-108.35,,
138.0,-108.22,,
138.5,-108.23,,
139.0,-108.31,,
139.5,-108.44,,
140.0,-108.57,,
140.5,-109.39,,
141.0,-110.54,,
141.5,-111.07,,
142.0,-111.93,,
142.5,-112.92,,
143.0,-113.89,,
